x	y	z	RNA Polymerase II Transcription Elongation
222	295	26	1
237	295	26	1
240	295	26	1
241	295	26	1
244	295	26	1
245	295	26	1
254	295	26	2
237	297	26	2
244	297	26	2
245	297	26	1
240	298	26	1
236	299	26	1
239	299	26	1
240	299	26	2
243	299	26	1
236	300	26	1
241	300	26	1
235	301	26	1
183	257	27	1
183	258	27	1
184	258	27	1
215	258	27	1
180	259	27	1
183	259	27	1
229	259	27	1
231	259	27	1
232	259	27	2
234	260	27	1
177	261	27	1
180	261	27	1
181	261	27	1
182	261	27	1
228	261	27	1
230	261	27	2
232	261	27	2
235	261	27	1
177	262	27	1
236	262	27	1
175	263	27	1
210	263	27	1
215	263	27	1
232	263	27	1
235	263	27	1
236	263	27	1
238	263	27	1
239	263	27	1
180	264	27	2
209	264	27	1
222	264	27	1
228	264	27	1
229	264	27	1
234	264	27	1
239	264	27	1
240	264	27	1
212	265	27	1
230	265	27	1
232	265	27	1
235	265	27	1
238	265	27	1
179	266	27	1
215	266	27	1
217	266	27	1
219	266	27	1
226	266	27	1
228	266	27	1
230	266	27	1
233	266	27	1
235	266	27	1
237	266	27	1
239	266	27	1
182	267	27	2
226	267	27	1
228	267	27	1
230	267	27	1
232	267	27	1
234	267	27	1
197	268	27	1
213	268	27	1
215	268	27	1
219	268	27	1
222	268	27	1
225	268	27	1
229	268	27	1
232	268	27	1
233	268	27	1
235	268	27	1
236	268	27	1
240	268	27	1
243	268	27	1
248	268	27	1
177	269	27	1
207	269	27	1
225	269	27	1
238	269	27	1
239	269	27	1
241	269	27	1
242	269	27	2
184	270	27	1
215	270	27	1
242	270	27	2
248	270	27	1
177	271	27	1
181	271	27	1
208	271	27	1
211	271	27	1
215	271	27	1
231	271	27	2
232	271	27	2
233	271	27	1
237	271	27	1
238	271	27	1
239	271	27	1
203	272	27	2
206	272	27	1
208	272	27	1
217	272	27	2
220	272	27	1
222	272	27	1
227	272	27	1
232	272	27	2
236	272	27	1
239	272	27	1
241	272	27	3
247	272	27	2
203	273	27	2
213	273	27	1
215	273	27	1
234	273	27	1
235	273	27	1
237	273	27	1
238	273	27	1
239	273	27	1
246	273	27	1
249	273	27	1
251	273	27	1
178	274	27	1
179	274	27	1
212	274	27	1
213	274	27	1
214	274	27	1
224	274	27	1
227	274	27	1
230	274	27	1
232	274	27	2
235	274	27	1
237	274	27	1
239	274	27	1
240	274	27	1
247	274	27	1
254	274	27	1
182	275	27	1
208	275	27	1
213	275	27	2
214	275	27	1
216	275	27	3
223	275	27	1
224	275	27	1
235	275	27	1
237	275	27	1
239	275	27	2
242	275	27	2
245	275	27	1
246	275	27	2
249	275	27	1
208	276	27	1
212	276	27	1
213	276	27	3
214	276	27	2
232	276	27	1
238	276	27	1
240	276	27	1
250	276	27	1
213	277	27	1
215	277	27	1
238	277	27	1
240	277	27	1
245	277	27	1
249	277	27	1
209	278	27	1
210	278	27	1
219	278	27	1
220	278	27	1
221	278	27	1
224	278	27	1
225	278	27	1
227	278	27	2
229	278	27	1
230	278	27	1
238	278	27	2
201	279	27	1
207	279	27	1
219	279	27	1
234	279	27	1
236	279	27	2
244	279	27	1
247	279	27	1
248	279	27	2
252	279	27	1
257	279	27	1
210	280	27	1
214	280	27	1
232	280	27	1
238	280	27	1
239	280	27	1
242	280	27	1
245	280	27	1
250	280	27	1
251	280	27	1
256	280	27	1
209	281	27	1
214	281	27	1
231	281	27	1
234	281	27	1
237	281	27	1
240	281	27	1
241	281	27	1
251	281	27	1
256	281	27	2
257	281	27	1
205	282	27	1
209	282	27	2
210	282	27	1
215	282	27	1
229	282	27	1
231	282	27	1
233	282	27	1
238	282	27	1
239	282	27	2
242	282	27	2
243	282	27	3
247	282	27	1
248	282	27	3
253	282	27	1
254	282	27	1
201	283	27	1
206	283	27	2
209	283	27	1
215	283	27	1
232	283	27	1
235	283	27	1
238	283	27	1
240	283	27	2
245	283	27	1
249	283	27	1
254	283	27	2
256	283	27	1
207	284	27	1
208	284	27	2
210	284	27	1
213	284	27	1
214	284	27	3
230	284	27	2
232	284	27	2
238	284	27	1
241	284	27	1
243	284	27	1
254	284	27	1
256	284	27	1
199	285	27	2
204	285	27	1
208	285	27	1
220	285	27	1
233	285	27	3
235	285	27	1
236	285	27	1
237	285	27	1
240	285	27	1
246	285	27	1
250	285	27	1
206	286	27	1
209	286	27	2
212	286	27	1
214	286	27	1
218	286	27	1
224	286	27	1
226	286	27	1
237	286	27	1
239	286	27	1
241	286	27	1
245	286	27	1
249	286	27	1
254	286	27	1
255	286	27	1
219	287	27	1
222	287	27	2
227	287	27	2
233	287	27	1
234	287	27	1
238	287	27	1
240	287	27	1
241	287	27	1
242	287	27	1
243	287	27	1
249	287	27	1
252	287	27	1
256	287	27	2
207	288	27	1
222	288	27	1
223	288	27	1
226	288	27	1
233	288	27	1
236	288	27	1
240	288	27	1
242	288	27	1
244	288	27	1
245	288	27	2
247	288	27	1
249	288	27	1
250	288	27	1
251	288	27	1
209	289	27	2
210	289	27	1
222	289	27	1
224	289	27	1
226	289	27	1
230	289	27	1
231	289	27	2
233	289	27	1
235	289	27	1
237	289	27	3
240	289	27	1
248	289	27	1
249	289	27	1
251	289	27	1
252	289	27	2
253	289	27	1
222	290	27	1
228	290	27	1
233	290	27	1
234	290	27	1
236	290	27	1
239	290	27	1
243	290	27	2
247	290	27	1
249	290	27	1
252	290	27	1
253	290	27	1
222	291	27	1
225	291	27	2
227	291	27	1
228	291	27	1
240	291	27	1
242	291	27	1
246	291	27	1
250	291	27	2
251	291	27	1
252	291	27	1
218	292	27	2
219	292	27	1
224	292	27	3
225	292	27	3
251	292	27	2
252	292	27	1
254	292	27	1
220	293	27	1
221	293	27	1
223	293	27	1
227	293	27	2
229	293	27	3
234	293	27	1
239	293	27	1
245	293	27	1
248	293	27	3
249	293	27	1
213	294	27	1
217	294	27	1
245	294	27	2
248	294	27	2
251	294	27	2
252	294	27	1
254	294	27	1
255	294	27	1
221	295	27	1
223	295	27	1
226	295	27	2
241	295	27	1
243	295	27	2
244	295	27	1
246	295	27	1
250	295	27	2
211	296	27	2
221	296	27	1
238	296	27	1
239	296	27	1
240	296	27	1
241	296	27	1
244	296	27	1
246	296	27	1
220	297	27	1
225	297	27	2
236	297	27	1
237	297	27	1
240	297	27	3
242	297	27	1
251	297	27	2
252	297	27	1
253	297	27	1
236	298	27	1
238	298	27	1
241	298	27	1
248	298	27	1
229	299	27	1
237	299	27	4
248	299	27	1
249	299	27	1
252	299	27	2
227	300	27	1
228	300	27	1
237	300	27	2
240	300	27	1
242	300	27	1
227	301	27	2
234	301	27	1
235	301	27	1
237	301	27	1
239	301	27	1
241	301	27	1
247	301	27	1
251	301	27	1
226	302	27	1
244	302	27	1
245	302	27	1
237	304	27	1
243	304	27	1
235	305	27	1
237	305	27	1
232	264	28	1
232	266	28	1
234	266	28	1
235	266	28	1
235	268	28	2
237	268	28	1
236	269	28	1
236	270	28	1
237	270	28	1
236	271	28	2
237	271	28	1
249	275	28	1
234	276	28	1
235	276	28	1
238	276	28	1
237	277	28	1
238	277	28	1
236	278	28	1
237	279	28	3
208	281	28	1
210	281	28	1
248	281	28	1
235	282	28	1
247	282	28	1
251	282	28	1
249	283	28	1
248	284	28	1
250	284	28	1
254	284	28	1
240	285	28	2
242	285	28	2
244	285	28	1
235	286	28	1
237	286	28	1
248	286	28	1
224	288	28	1
238	288	28	1
244	288	28	1
227	289	28	1
228	289	28	1
249	289	28	1
253	289	28	2
240	290	28	2
242	290	28	1
239	291	28	1
240	291	28	1
245	291	28	2
249	291	28	1
222	292	28	1
241	292	28	1
248	292	28	3
243	293	28	1
248	293	28	2
249	293	28	1
241	294	28	1
242	294	28	2
250	294	28	1
240	295	28	1
240	296	28	1
240	299	28	1
225	300	28	1
236	300	28	2
229	255	29	1
235	256	29	3
228	258	29	2
237	258	29	1
183	261	29	1
199	261	29	2
220	262	29	1
229	262	29	1
231	263	29	1
232	263	29	1
234	263	29	1
248	263	29	1
178	264	29	1
215	264	29	1
230	264	29	3
181	265	29	1
226	265	29	2
235	265	29	1
195	266	29	1
226	266	29	1
229	266	29	1
234	266	29	2
236	266	29	1
245	266	29	2
250	266	29	1
194	267	29	2
196	267	29	1
197	267	29	1
199	267	29	1
226	267	29	1
235	267	29	1
237	267	29	1
249	267	29	1
201	268	29	1
217	268	29	3
226	268	29	1
231	268	29	1
235	268	29	1
244	268	29	1
250	268	29	1
204	269	29	1
234	269	29	1
200	270	29	1
227	270	29	1
238	270	29	1
250	270	29	1
204	271	29	1
215	271	29	2
216	271	29	1
233	271	29	1
240	271	29	2
241	271	29	1
242	271	29	1
251	271	29	2
213	272	29	1
224	272	29	2
232	272	29	1
233	272	29	2
234	272	29	1
235	272	29	1
241	272	29	2
245	272	29	2
249	272	29	3
182	273	29	1
212	273	29	1
249	273	29	1
250	273	29	1
180	274	29	1
213	274	29	1
232	274	29	1
234	274	29	1
239	274	29	1
240	274	29	1
250	274	29	3
184	275	29	3
232	275	29	1
237	275	29	1
240	275	29	1
245	275	29	1
204	276	29	2
206	276	29	1
234	276	29	1
240	276	29	1
241	276	29	1
250	276	29	1
252	276	29	2
205	277	29	1
236	277	29	1
237	277	29	1
251	277	29	1
239	278	29	2
245	278	29	1
250	278	29	1
238	279	29	1
246	279	29	1
247	279	29	2
248	279	29	1
249	279	29	1
233	280	29	1
237	280	29	1
245	280	29	1
246	280	29	2
252	280	29	1
256	280	29	2
233	281	29	1
234	281	29	1
243	281	29	1
248	281	29	2
206	282	29	1
241	282	29	1
248	282	29	1
249	282	29	1
250	282	29	1
233	283	29	1
236	283	29	2
246	283	29	1
249	283	29	1
250	283	29	1
232	284	29	1
234	284	29	2
235	284	29	1
236	284	29	1
238	284	29	1
244	284	29	1
249	284	29	1
252	284	29	1
219	285	29	1
226	285	29	1
241	285	29	2
244	285	29	1
247	285	29	1
248	285	29	3
254	285	29	1
235	286	29	1
236	286	29	1
240	286	29	1
248	286	29	1
249	286	29	1
226	287	29	1
238	287	29	1
241	287	29	1
246	287	29	2
249	287	29	1
246	288	29	1
249	288	29	1
253	288	29	1
224	289	29	1
234	289	29	2
236	289	29	2
237	289	29	1
244	289	29	1
247	289	29	1
227	290	29	1
237	290	29	1
238	290	29	2
239	290	29	1
243	290	29	1
245	290	29	2
247	290	29	1
222	291	29	1
238	291	29	1
239	291	29	2
248	291	29	1
250	291	29	1
251	291	29	1
238	292	29	1
239	292	29	1
243	292	29	1
249	292	29	1
224	293	29	1
227	293	29	1
246	293	29	1
252	293	29	1
253	293	29	1
224	294	29	2
236	294	29	1
240	294	29	1
242	294	29	2
243	294	29	1
251	294	29	1
221	295	29	2
241	295	29	1
244	295	29	1
247	295	29	1
219	296	29	3
246	296	29	1
249	296	29	1
255	296	29	1
241	297	29	2
243	297	29	1
246	297	29	1
247	297	29	1
219	298	29	1
221	298	29	2
238	298	29	2
242	298	29	1
248	298	29	1
240	299	29	1
225	300	29	1
235	300	29	1
237	300	29	1
240	300	29	1
247	300	29	1
221	301	29	1
224	301	29	1
236	301	29	2
238	301	29	1
250	302	29	2
237	304	29	2
236	305	29	1
225	251	30	1
215	252	30	2
228	253	30	2
215	254	30	2
230	254	30	1
231	254	30	1
236	254	30	1
229	255	30	1
234	255	30	1
233	256	30	1
181	257	30	1
183	257	30	1
176	258	30	1
181	258	30	1
203	258	30	1
215	258	30	1
228	258	30	1
233	258	30	2
236	258	30	3
238	258	30	1
239	258	30	1
175	259	30	1
189	259	30	1
210	259	30	3
219	259	30	2
224	259	30	1
237	259	30	1
226	260	30	1
231	260	30	1
232	260	30	2
235	260	30	1
238	260	30	1
194	261	30	1
198	261	30	1
208	261	30	1
215	261	30	1
224	261	30	1
225	261	30	1
226	261	30	1
227	261	30	1
230	261	30	1
232	261	30	2
239	261	30	1
244	261	30	1
246	261	30	1
249	261	30	1
187	262	30	2
206	262	30	1
216	262	30	1
218	262	30	2
222	262	30	2
225	262	30	1
226	262	30	1
240	262	30	2
247	262	30	2
251	262	30	1
179	263	30	1
182	263	30	1
193	263	30	1
197	263	30	1
227	263	30	1
228	263	30	1
230	263	30	1
246	263	30	2
178	264	30	1
194	264	30	1
195	264	30	1
211	264	30	2
227	264	30	1
228	264	30	3
231	264	30	1
233	264	30	1
238	264	30	1
241	264	30	1
183	265	30	1
191	265	30	1
196	265	30	1
197	265	30	1
200	265	30	1
205	265	30	1
208	265	30	1
210	265	30	1
212	265	30	1
219	265	30	1
232	265	30	1
244	265	30	1
247	265	30	1
248	265	30	1
187	266	30	1
188	266	30	1
195	266	30	1
211	266	30	2
212	266	30	1
213	266	30	1
215	266	30	1
232	266	30	1
240	266	30	1
243	266	30	1
247	266	30	2
249	266	30	1
192	267	30	1
194	267	30	1
196	267	30	2
208	267	30	1
209	267	30	2
225	267	30	1
228	267	30	1
229	267	30	2
235	267	30	1
238	267	30	1
239	267	30	2
246	267	30	1
172	268	30	1
188	268	30	1
191	268	30	1
194	268	30	1
205	268	30	2
207	268	30	2
213	268	30	1
230	268	30	1
237	268	30	1
238	268	30	1
248	268	30	1
193	269	30	1
196	269	30	1
197	269	30	1
199	269	30	1
211	269	30	1
214	269	30	2
215	269	30	1
222	269	30	1
236	269	30	1
237	269	30	2
242	269	30	1
244	269	30	1
248	269	30	1
249	269	30	1
250	269	30	1
183	270	30	2
187	270	30	1
197	270	30	1
230	270	30	1
233	270	30	1
234	270	30	1
238	270	30	1
244	270	30	1
245	270	30	1
249	270	30	1
175	271	30	1
185	271	30	2
187	271	30	3
188	271	30	1
194	271	30	1
204	271	30	1
208	271	30	2
211	271	30	1
212	271	30	1
229	271	30	2
232	271	30	1
238	271	30	1
239	271	30	1
244	271	30	1
247	271	30	1
249	271	30	1
179	272	30	1
181	272	30	1
182	272	30	1
184	272	30	2
206	272	30	1
207	272	30	1
216	272	30	1
223	272	30	1
239	272	30	1
244	272	30	2
247	272	30	1
250	272	30	1
183	273	30	1
206	273	30	1
211	273	30	1
214	273	30	1
231	273	30	1
232	273	30	1
240	273	30	1
246	273	30	1
183	274	30	1
214	274	30	1
233	274	30	1
236	274	30	1
238	274	30	2
241	274	30	1
251	274	30	1
179	275	30	1
183	275	30	1
184	275	30	2
238	275	30	1
244	275	30	1
249	275	30	1
179	276	30	1
205	276	30	2
206	276	30	1
207	276	30	1
232	276	30	1
240	276	30	1
248	276	30	1
250	276	30	1
253	276	30	1
174	277	30	1
205	277	30	2
208	277	30	1
235	277	30	1
243	277	30	1
201	278	30	1
203	278	30	1
208	278	30	1
246	278	30	2
249	278	30	1
207	279	30	2
219	279	30	1
238	279	30	1
239	279	30	3
243	279	30	1
247	279	30	1
175	280	30	1
176	280	30	1
236	280	30	1
251	280	30	1
252	280	30	1
173	281	30	1
179	281	30	1
181	281	30	1
214	281	30	1
233	281	30	1
235	281	30	1
240	281	30	1
245	281	30	2
249	281	30	1
172	282	30	1
187	282	30	2
219	282	30	1
220	282	30	1
221	282	30	1
229	282	30	1
233	282	30	1
234	282	30	1
235	282	30	2
237	282	30	1
240	282	30	1
248	282	30	1
252	282	30	1
219	283	30	2
232	283	30	1
241	283	30	1
242	283	30	1
246	283	30	1
248	283	30	1
251	283	30	1
257	283	30	1
180	284	30	1
219	284	30	2
221	284	30	1
230	284	30	1
233	284	30	1
236	284	30	1
238	284	30	1
240	284	30	1
245	284	30	1
252	284	30	1
254	284	30	1
236	285	30	2
242	285	30	2
245	285.666666666667	31	1
248	285	30	1
252	285	30	1
254	285	30	2
255	285	30	1
256	285	30	2
205	286	30	1
206	286	30	1
223	286	30	3
224	286	30	1
225	286	30	1
230	286	30	1
235	286	30	1
238	286	30	1
239	286	30	1
243	286	30	2
251	286	30	1
257	286	30	1
225	287	30	1
237	287.5	30.5	1
238.5	287.5	30.5	1
244	287	30	1
250	287	30	1
199	288	30	1
221	288	30	1
235	288	30	1
245	288	30	1
253	288	30	1
199	289	30	1
200	289	30	1
201	289	30	1
223	289	30	1
233	289	30	1
235	289	30	1
237	289	30	1
238	289	30	1
240	289	30	1
245	289	30	1
220	290	30	1
222	290	30	1
225	290	30	1
226	290	30	2
227	290	30	1
236	290	30	1
239	290	30	3
240	290	30	1
244	290	30	1
246	290	30	2
250	290	30	1
257	290	30	2
198	291	30	2
226	291	30	2
232	291	30	1
241	291	30	1
244	291	30	1
248	291	30	2
249	291	30	1
251	291	30	2
255	291	30	1
258	291	30	1
194	292	30	1
199	292	30	1
213	292	30	2
224	292	30	1
226	292	30	1
227	292	30	1
235	292	30	1
248	292	30	1
249	292	30	1
251	292	30	1
219	293	30	1
220	293	30	1
238	293	30	1
239	293	30	1
244	293	30	1
246	293	30	1
247	293	30	1
250	293	30	1
220	294	30	1
226	294	30	1
227	294	30	1
231	294	30	1
232	294	30	1
236	294	30	1
240	294	30	1
243	294	30	1
197	295	30	1
220	295	30	1
224	295	30	1
227	295	30	1
229	295	30	2
234	295	30	1
244	295	30	1
252	295	30	1
254	295	30	1
257	295	30	1
186	296	30	1
222	296	30	1
235	296	30	1
237	296	30	2
246	296	30	1
226	297	30	1
227	297	30	1
237	297	30	1
244	297	30	1
246	297	30	1
220	298	30	2
247	298	30	1
249	298	30	1
250	298	30	1
252	298	30	3
218	299	30	1
225	299	30	1
227	299	30	2
242	299	30	2
246	299	30	1
248	299	30	2
222	300	30	1
223	300	30	3
228	300	30	2
233	300	30	1
237	300	30	1
240	300	30	2
247	300	30	1
248	300	30	1
227	301	30	1
236	301	30	3
241	301	30	2
243	301	30	1
246	301	30	1
247	301	30	1
249	301	30	2
223	302	30	1
231	302	30	1
236	302	30	1
239	302	30	1
248	302	30	1
217	303	30	1
223	303	30	1
237	303	30	1
233	304	30	1
236	304	30	1
223	305	30	1
236	305	30	1
238	305	30	1
240	305	30	1
242	305	30	1
226	249	31	1
227	250	31	1
215	251	31	1
215	253	31	1
225	253	31	1
233	253	31	1
237	253	31	1
191	255	31	1
195	255	31	4
226	255	31	1
235	255	31	1
216	256	31	1
239	256	31	1
214	257	31	2
215	257	31	1
232	257	31	6
236	257	31	2
240	257	31	1
190	258	31	1
215	258	31	1
228	258	31	1
229	258	31	2
235	258	31	1
237	258	31	1
216	259	31	1
218	259	31	1
227	259	31	1
231	259	31	1
232	259	31	2
195	260	31	1
227	260	31	1
234	260	31	1
235	260	31	1
237	260	31	1
239	260	31	1
240	260	31	1
241	260	31	1
242	260	31	1
244	260	31	1
246	260	31	1
208	261	31	2
211	261	31	1
244	261	31	1
246	261	31	1
186	262	31	1
207	262	31	1
210	262	31	2
218	262	31	1
221	262	31	1
223	262	31	1
230	262	31	1
233	262	31	1
235	262	31	1
240	262	31	1
248	262	31	1
249	262	31	1
185	263	31	1
187	263	31	1
188	263	31	1
197	263	31	1
215	263	31	1
228	263	31	1
232	263	31	1
233	263	31	1
234	263	31	1
245	263	31	1
249	263	31	1
185	264	31	1
188	264	31	1
190	264	31	2
197	264	31	1
199	264	31	1
217	264	31	1
220	264	31	1
223	264	31	1
224	264	31	1
232	264	31	1
234	264	31	2
238	264	31	3
244	264	31	1
186	265	31	1
213	265	31	2
223	265	31	1
229	265	31	1
231	265	31	1
233	265	31	2
235	265	31	1
243	265	31	1
246	265	31	1
189	266	31	1
194	266	31	1
198	266	31	1
212	266	31	2
217	266	31	1
220	266	31	2
221	266	31	1
228	266	31	1
245	266	31	1
248	266	31	1
251	266	31	1
177	267	31	1
192	267	31	1
194	267	31	2
195	267	31	3
197	267	31	1
224	267	31	1
228	267	31	2
230	267	31	1
231	267	31	2
233	267	31	1
241	267	31	1
242	267	31	1
247	267	31	1
183	268	31	1
184	268	31	1
197	268	31	1
198	268	31	2
213	268	31	2
215	268	31	1
225	268	31	1
231	268	31	1
240	268	31	1
245	268	31	1
173	269	31	1
184	269	31	1
191	269	31	1
193	269	31	1
198	269	31	1
204	269	31	2
206	269	31	1
210	269	31	1
215	269	31	1
232	269	31	1
234	269	31	1
235	269	31	2
243	269	31	2
248	269	31	2
198	270	31	1
200	270	31	1
207	270	31	1
212	270	31	1
215	270	31	1
217	270	31	1
231	270	31	1
234	270	31	1
239	270	31	1
240	270	31	1
242	270	31	1
244	270	31	1
249	270	31	2
174	271	31	1
176	271	31	1
177	271	31	2
182	271	31	1
184	271	31	1
198	271	31	1
214	271	31	1
215	271	31	1
224	271	31	1
231	271	31	1
235	271	31	2
237	271	31	1
241	271	31	1
246	271	31	1
247	271	31	1
183	272	31	1
185	272	31	1
199	272	31	1
214	272	31	1
230	272	31	1
232	272	31	1
235	272	31	2
237	272	31	1
240	272	31	1
241	272	31	1
248	272	31	1
254	272	31	1
176	273	31	1
184	273	31	1
213	273	31	1
234	273	31	3
239	273	31	1
240	273	31	1
244	273	31	3
179	274	31	2
180	274	31	1
182	274	31	1
185	274	31	2
211	274	31	2
229	274	31	1
233	274	31	1
236	274	31	1
237	274	31	1
239	274	31	1
240	274	31	1
241	274	31	2
243	274	31	1
244	274	31	1
247	274	31	1
201	275	31	1
205	275	31	1
206	275	31	1
237	275	31	1
239	275	31	1
250	275	31	1
176	276	31	1
198	276	31	3
226	276	31	2
233	276	31	2
234	276	31	1
253	276	31	1
204	277	31	1
237	277	31	2
243	277	31	1
247	277	31	2
174	278	31	1
178	278	31	1
180	278	31	1
204	278	31	1
205	278	31	1
224	278	31	1
236	278	31	1
237	278	31	1
238	278	31	1
240	278	31	1
180	279	31	1
207	279	31	1
238	279	31	1
242	279	31	1
243	279	31	1
253	279	31	1
181	280	31	1
208	280	31	1
232	280	31	1
237	280	31	1
238	280	31	1
241	280	31	1
248	280	31	1
249	280	31	4
176	281	31	1
179	281	31	1
184	281	31	1
206	281	31	2
228	281	31	1
231	281	31	2
240	281	31	1
241	281	31	1
244	281	31	1
175	282	31	1
178	282	31	1
180	282	31	1
206	282	31	1
225	282	31	1
233	282	31	1
245	282	31	1
247	282	31	1
253	282	31	1
254	282	31	1
182	283	31	1
209	283	31	1
221	283	31	1
223	283	31	1
228	283	31	1
231	283	31	1
236	283	31	1
244	283	31	3
253	283	31	1
224	284	31	1
236	284	31	1
237	284	31	1
238	284	31	1
244	284	31	1
248	284	31	1
256	284	31	1
257	284	31	2
173	285	31	1
179	285	31	1
183	285	31	1
225	285	31	1
233	285	31	1
234	285	31	1
238	285.5	31.5	1
240	285	31	2
244	285	31	1
245	285	31	1
253	285	31	2
178	286	31	1
180	286	31	1
204	286	31	1
220	286	31	1
225	286	31	1
229	286	31	1
239	286	31	1
244	286	31	1
246	286	31	1
249	286	31	1
190	287	31	1
227	287	31	1
241	287	31	1
244	287	31	1
246	287	31	1
248	287	31	3
251	287	31	1
255	287	31	1
256	287	31	1
220	288	31	1
221	288	31	1
222	288	31	2
223	288	31	1
225	288	31	1
226	288	31	1
231	288	31	2
234	288	31	1
236	288	31	1
240.5	288.5	31.5	2
244	288	31	1
247	288	31	4
251	288	31	1
205	289	31	1
226	289	31	1
231	289	31	1
234	289	31	1
237	289	31	1
240	289	31	1
242	289	31	2
247	289	31	1
221	290	31	1
222	290	31	1
226	290	31	1
230	290	31	1
234	290	31	1
239	290	31	1
243	290	31	1
246	290	31	1
247	290	31	1
204	291	31	1
228	291	31	2
229	291	31	1
230	291	31	2
235	291	31	1
248	291	31	1
197	292	31	2
198	292	31	1
199	292	31	1
222	292	31	1
226	292	31	2
227	292	31	1
232	292	31	1
243	292	31	2
246	292	31	1
251	292	31	1
254	292	31	1
256	292	31	1
223	293	31	1
228	293	31	1
232	293	31	3
234	293	31	1
235	293	31	1
238	293	31	1
242	293	31	1
246	293	31	1
253	293	31	1
209	294	31	1
221	294	31	1
225	294	31	1
227	294	31	1
237	294	31	1
241	294	31	1
246	294	31	3
247	294	31	1
251	294	31	2
253	294	31	1
220	295	31	2
223	295	31	1
234	295	31	1
235	295	31	1
243	295	31	2
244	295	31	1
248	295	31	1
250	295	31	1
255	295	31	2
197	296	31	1
199	296	31	2
215	296	31	1
222	296	31	1
223	296	31	1
242	296	31	1
247	296	31	1
250	296	31	1
252	296	31	1
253	296	31	1
225	297	31	2
226	297	31	2
231	297	31	1
242	297	31	2
246	297	31	1
248	297	31	1
252	297	31	1
229	298	31	1
232	298	31	1
238	298	31	1
240	298	31	1
251	298	31	1
221	299	31	1
