x	y	z	RNA Polymerase III Transcription Termination
244	295	26	1
245	295	26	1
248	295	26	1
235	296	26	2
239	296	26	1
240	296	26	2
242	296	26	2
243	296	26	3
236	297	26	1
237	297	26	2
239	297	26	3
240	297	26	1
244	297	26	3
246	297	26	1
240	298	26	1
242	298	26	1
246	298	26	1
236	299	26	2
241	299	26	3
243	299	26	2
225	300	26	1
227	300	26	2
236	300	26	4
241	300	26	2
227	301	26	2
235	301	26	1
182	255	27	1
184	255	27	1
184	256	27	1
181	257	27	2
183	257	27	2
186	257	27	1
181	258	27	1
183	258	27	1
215	258	27	2
184	259	27	1
185	259	27	2
228	259	27	2
229	259	27	3
231	259	27	1
232	259	27	2
183	260	27	3
184	260	27	2
186	260	27	2
226	260	27	1
228	260	27	1
233	260	27	3
234	260	27	2
235	260	27	2
237	260	27	2
240	260	27	1
177	261	27	1
180	261	27	3
181	261	27	1
182	261	27	2
184	261	27	1
185	261	27	1
186	261	27	2
187	261	27	3
220	261	27	2
222	261	27	1
227	261	27	2
228	261	27	1
229	261	27	4
230	261	27	2
231	261	27	1
234	261	27	2
239	261	27	2
177	262	27	1
180	262	27	1
182	262	27	1
184	262	27	2
186	262	27	1
229	262	27	1
232	262	27	1
238	262	27	3
239	262	27	2
178	263	27	1
181	263	27	1
182	263	27	2
183	263	27	2
184	263	27	1
185	263	27	3
211	263	27	1
215	263	27	1
220	263	27	1
227	263	27	1
229	263	27	2
230	263	27	2
232	263	27	4
235	263	27	1
238	263	27	2
239	263	27	1
244	263	27	1
175	264	27	3
176	264	27	1
186	264	27	2
209	264	27	1
222	264	27	4
224	264	27	2
225	264	27	1
226	264	27	2
228	264	27	1
230	264	27	1
231	264	27	1
232	264	27	1
237	264	27	2
238	264	27	2
181	265	27	1
184	265	27	4
189	265	27	1
212	265	27	1
215	265	27	1
221	265	27	4
226	265	27	1
230	265	27	1
231	265	27	2
232	265	27	2
233	265	27	1
234	265	27	1
238	265	27	3
240	265	27	4
178	266	27	2
179	266	27	4
180	266	27	3
201	266	27	2
217	266	27	3
219	266	27	1
221	266	27	2
224	266	27	4
228	266	27	1
230	266	27	4
231	266	27	1
232	266	27	1
233	266	27	1
234	266	27	1
235	266	27	2
237	266	27	1
239	266	27	1
179	267	27	3
217	267	27	1
226	267	27	2
228	267	27	1
230	267	27	1
232	267	27	1
233	267	27	1
234	267	27	3
239	267	27	1
249	267	27	2
179	268	27	1
180	268	27	3
181	268	27	1
207	268	27	1
213	268	27	2
214	268	27	1
216	268	27	1
222	268	27	1
223	268	27	2
224	268	27	1
225	268	27	1
226	268	27	2
228	268	27	2
229	268	27	1
231	268	27	1
232	268	27	1
233	268	27	2
235	268	27	2
236	268	27	2
237	268	27	1
238	268	27	1
239	268	27	3
240	268	27	1
243	268	27	1
248	268	27	1
177	269	27	2
178	269	27	3
179	269	27	1
180	269	27	3
201	269	27	2
207	269	27	2
211	269	27	2
214	269	27	1
215	269	27	1
218	269	27	1
224	269	27	2
225	269	27	1
227	269	27	3
229	269	27	2
231	269	27	1
234	269	27	1
235	269	27	1
237	269	27	2
238	269	27	2
240	269	27	1
241	269	27	4
252	269	27	3
179	270	27	1
215	270	27	1
216	270	27	2
217	270	27	1
218	270	27	2
226	270	27	1
227	270	27	1
228	270	27	1
231	270	27	2
232	270	27	2
233	270	27	4
237	270	27	1
238	270	27	1
239	270	27	1
240	270	27	2
242	270	27	2
244	270	27	1
248	270	27	3
206	271	27	1
207	271	27	4
208	271	27	1
209	271	27	1
210	271	27	1
211	271	27	2
216	271	27	2
226	271	27	1
228	271	27	1
230	271	27	2
231	271	27	2
233	271	27	2
234	271	27	1
235	271	27	3
238	271	27	1
242	271	27	2
243	271	27	2
247	271	27	1
248	271	27	1
249	271	27	1
250	271	27	1
251	271	27	2
176	272	27	4
179	272	27	2
181	272	27	1
203	272	27	2
204	272	27	1
205	272	27	2
206	272	27	1
207	272	27	3
208	272	27	2
213	272	27	1
216	272	27	3
217	272	27	1
220	272	27	3
222	272	27	1
223	272	27	2
228	272	27	1
229	272	27	1
234	272	27	2
235	272	27	2
236	272	27	1
238	272	27	2
239	272	27	3
247	272	27	1
249	272	27	2
251	272	27	2
206	273	27	1
207	273	27	1
213	273	27	2
214	273	27	3
217	273	27	1
220	273	27	1
223	273	27	2
227	273	27	1
232	273	27	1
234	273	27	3
237	273	27	2
239	273	27	1
241	273	27	2
247	273	27	4
248	273	27	3
249	273	27	1
251	273	27	4
177	274	27	1
178	274	27	1
179	274	27	1
182	274	27	1
203	274	27	1
204	274	27	1
207	274	27	1
208	274	27	2
209	274	27	2
214	274	27	2
216	274	27	1
224	274	27	2
226	274	27	1
227	274	27	1
228	274	27	1
232	274	27	3
233	274	27	1
236	274	27	1
237	274	27	3
239	274	27	3
240	274	27	1
243	274	27	1
250	274	27	1
254	274	27	1
182	275	27	1
184	275	27	3
185	275	27	2
205	275	27	2
206	275	27	1
212	275	27	1
213	275	27	1
214	275	27	2
216	275	27	3
218	275	27	2
222	275	27	2
224	275	27	1
228	275	27	1
230	275	27	1
233	275	27	2
236	275	27	1
237	275	27	4
238	275	27	3
240	275	27	2
242	275	27	2
244	275	27	1
245	275	27	2
246	275	27	2
247	275	27	1
250	275	27	2
252	275	27	3
254	275	27	1
204	276	27	1
205	276	27	1
206	276	27	1
208	276	27	3
209	276	27	1
211	276	27	2
212	276	27	3
213	276	27	1
217	276	27	1
220	276	27	1
234	276	27	3
238	276	27	2
240	276	27	2
244	276	27	2
245	276	27	1
246	276	27	3
247	276	27	2
252	276	27	2
204	277	27	1
207	277	27	1
208	277	27	2
210	277	27	2
211	277	27	3
215	277	27	1
218	277	27	3
224	277	27	2
227	277	27	1
231	277	27	1
232	277	27	3
235	277	27	1
236	277	27	1
238	277	27	1
239	277	27	2
240	277	27	1
243	277	27	1
244	277	27	2
245	277	27	2
248	277	27	3
250	277	27	1
204	278	27	1
206	278	27	2
208	278	27	3
209	278	27	1
210	278	27	2
211	278	27	2
213	278	27	2
214	278	27	1
219	278	27	1
220	278	27	3
221	278	27	1
224	278	27	1
225	278	27	1
227	278	27	2
230	278	27	3
231	278	27	1
233	278	27	1
235	278	27	1
239	278	27	3
244	278	27	1
246	278	27	3
248	278	27	2
249	278	27	2
250	278	27	1
252	278	27	2
208	279	27	3
210	279	27	2
219	279	27	1
220	279	27	1
230	279	27	3
231	279	27	1
234	279	27	1
235	279	27	1
236	279	27	2
238	279	27	1
239	279	27	1
240	279	27	2
246	279	27	2
247	279	27	1
248	279	27	3
249	279	27	2
250	279	27	3
251	279	27	3
252	279	27	2
205	280	27	1
214	280	27	1
232	280	27	2
233	280	27	1
234	280	27	3
236	280	27	1
239	280	27	2
242	280	27	3
243	280	27	1
245	280	27	1
247	280	27	1
248	280	27	2
249	280	27	2
250	280	27	1
251	280	27	1
252	280	27	4
256	280	27	2
209	281	27	1
210	281	27	3
214	281	27	3
215	281	27	2
217	281	27	3
218	281	27	3
228	281	27	1
229	281	27	3
231	281	27	1
233	281	27	1
235	281	27	1
236	281	27	3
237	281	27	4
240	281	27	1
243	281	27	4
244	281	27	2
245	281	27	1
248	281	27	1
249	281	27	1
251	281	27	3
252	281	27	1
206	282	27	3
209	282	27	1
210	282	27	3
212	282	27	2
215	282	27	2
217	282	27	4
227	282	27	3
229	282	27	1
231	282	27	2
233	282	27	1
235	282	27	2
236	282	27	1
237	282	27	1
238	282	27	2
239	282	27	2
240	282	27	1
241	282	27	1
243	282	27	5
244	282	27	3
245	282	27	1
246	282	27	2
247	282	27	1
248	282	27	1
249	282	27	1
250	282	27	1
252	282	27	1
201	283	27	2
206	283	27	2
207	283	27	2
215	283	27	1
216	283	27	2
218	283	27	2
221	283	27	1
227	283	27	1
228	283	27	1
231	283	27	3
234	283	27	2
235	283	27	1
238	283	27	3
239	283	27	5
243	283	27	1
244	283	27	1
245	283	27	2
247	283	27	1
255	283	27	4
206	284	27	2
208	284	27	1
209	284	27	4
213	284	27	1
214	284	27	1
215	284	27	1
232	284	27	1
235	284	27	2
238	284	27	1
241	284	27	4
250	284	27	2
252	284	27	2
254	284	27	1
256	284	27	2
257	284	27	1
199	285	27	2
204	285	27	2
206	285	27	3
208	285	27	2
209	285	27	1
210	285	27	2
212	285	27	3
219	285	27	1
223	285	27	3
224	285	27	2
228	285	27	1
234	285	27	2
235	285	27	2
237	285	27	2
239	285	27	1
240	285	27	4
241	285	27	3
242	285	27	3
245	285	27	3
246	285	27	1
249	285	27	1
250	285	27	1
253	285	27	2
254	285	27	1
255	285	27	1
204	286	27	2
206	286	27	2
207	286	27	1
208	286	27	1
209	286	27	3
214	286	27	1
219	286	27	2
220	286	27	1
224	286	27	3
225	286	27	1
226	286	27	1
232	286	27	2
233	286	27	1
237	286	27	1
239	286	27	1
241	286	27	1
244	286	27	4
245	286	27	1
246	286	27	2
247	286	27	1
249	286	27	3
251	286	27	3
252	286	27	2
254	286	27	2
258	286	27	1
207	287	27	2
210	287	27	2
214	287	27	1
219	287	27	3
221	287	27	3
223	287	27	2
228	287	27	1
230	287	27	3
231	287	27	1
232	287	27	2
234	287	27	1
236	287	27	1
237	287	27	1
239	287	27	1
240	287	27	2
241	287	27	1
242	287	27	1
243	287	27	2
246	287	27	2
247	287	27	2
248	287	27	2
249	287	27	2
251	287	27	2
252	287	27	1
253	287	27	2
255	287	27	1
256	287	27	2
207	288	27	3
211	288	27	3
214	288	27	2
224	288	27	2
225	288	27	2
226	288	27	1
228	288	27	3
229	288	27	1
231	288	27	3
233	288	27	1
234	288	27	3
235	288	27	2
236	288	27	3
237	288	27	3
238	288	27	4
240	288	27	1
242	288	27	2
244	288	27	2
245	288	27	2
246	288	27	2
247	288	27	1
251	288	27	3
252	288	27	1
255	288	27	1
203	289	27	1
209	289	27	2
210	289	27	1
219	289	27	1
222	289	27	2
224	289	27	3
225	289	27	3
226	289	27	3
227	289	27	5
230	289	27	1
231	289	27	1
233	289	27	2
235	289	27	1
238	289	27	2
239	289	27	3
240	289	27	1
241	289	27	1
242	289	27	1
243	289	27	2
246	289	27	4
248	289	27	4
249	289	27	1
251	289	27	1
252	289	27	2
253	289	27	2
254	289	27	1
256	289	27	2
207	290	27	1
214	290	27	1
221	290	27	1
222	290	27	1
226	290	27	1
228	290	27	1
230	290	27	1
231	290	27	3
232	290	27	1
233	290	27	1
234	290	27	1
237	290	27	3
239	290	27	1
241	290	27	4
244	290	27	1
246	290	27	1
247	290	27	1
250	290	27	1
252	290	27	4
253	290	27	1
210	291	27	1
211	291	27	3
221	291	27	3
222	291	27	1
225	291	27	1
227	291	27	2
229	291	27	1
230	291	27	2
233	291	27	2
234	291	27	1
236	291	27	2
237	291	27	2
238	291	27	1
239	291	27	3
240	291	27	1
241	291	27	1
243	291	27	1
246	291	27	1
247	291	27	1
248	291	27	1
251	291	27	1
252	291	27	3
257	291	27	2
211	292	27	1
212	292	27	1
213	292	27	3
218	292	27	1
221	292	27	2
224	292	27	2
226	292	27	2
227	292	27	1
228	292	27	1
234	292	27	1
235	292	27	1
237	292	27	1
238	292	27	1
239	292	27	2
241	292	27	1
248	292	27	1
249	292	27	1
250	292	27	1
252	292	27	1
253	292	27	1
210	293	27	1
211	293	27	1
217	293	27	2
219	293	27	1
221	293	27	1
222	293	27	1
223	293	27	2
224	293	27	5
225	293	27	1
226	293	27	1
234	293	27	1
239	293	27	2
240	293	27	2
243	293	27	1
244	293	27	3
245	293	27	2
247	293	27	1
248	293	27	6
250	293	27	3
251	293	27	1
253	293	27	1
254	293	27	2
256	293	27	2
211	294	27	3
213	294	27	2
217	294	27	1
219	294	27	2
220	294	27	2
224	294	27	1
225	294	27	1
226	294	27	1
231	294	27	2
236	294	27	2
238	294	27	1
245	294	27	1
248	294	27	1
250	294	27	1
252	294	27	1
253	294	27	1
254	294	27	1
255	294	27	1
219	295	27	1
220	295	27	2
221	295	27	1
222	295	27	4
223	295	27	1
226	295	27	1
244	295	27	1
246	295	27	1
248	295	27	2
249	295	27	1
250	295	27	3
252	295	27	2
255	295	27	2
220	296	27	3
237	296	27	1
238	296	27	2
239	296	27	1
240	296	27	2
241	296	27	2
245	296	27	2
246	296	27	2
247	296	27	2
249	296	27	1
255	296	27	2
220	297	27	1
221	297	27	2
225	297	27	1
236	297	27	1
237	297	27	2
238	297	27	1
239	297	27	1
240	297	27	1
245	297	27	2
248	297	27	2
249	297	27	1
251	297	27	1
252	297	27	4
253	297	27	1
221	298	27	2
224	298	27	1
226	298	27	1
236	298	27	1
237	298	27	1
239	298	27	2
244	298	27	1
245	298	27	1
247	298	27	2
248	298	27	1
223	299	27	3
229	299	27	1
230	299	27	1
239	299	27	1
240	299	27	3
241	299	27	2
242	299	27	3
243	299	27	1
246	299	27	1
247	299	27	1
252	299	27	2
227	300	27	1
228	300	27	1
235	300	27	1
237	300	27	1
238	300	27	1
244	300	27	2
247	300	27	3
248	300	27	1
224	301	27	2
227	301	27	1
234	301	27	3
236	301	27	3
237	301	27	1
239	301	27	1
243	301	27	2
247	301	27	1
250	301	27	1
251	301	27	1
226	302	27	1
236	302	27	2
237	302	27	3
238	302	27	2
239	302	27	1
244	302	27	4
241	303	27	2
236	304	27	3
238	304	27	2
243	304	27	2
244	304	27	1
237	305	27	1
231	264	28	1
232	264	28	1
234	265	28	3
231	267	28	1
234	267	28	1
231	268	28	2
238	268	28	2
237	269	28	2
238	269	28	1
235	270	28	1
237	270	28	1
250	270	28	1
236	271	28	2
240	271	28	2
233	272	28	5
236	272	28	1
250	272	28	2
211	273	28	1
235	273	28	2
232	274	28	2
234	274	28	1
235	275	28	1
249	275	28	3
233	276	28	1
234	276	28	4
235	276	28	1
238	276	28	3
236	278	28	2
210	279	28	1
237	279	28	1
235	280	28	1
239	280	28	2
241	280	28	2
251	280	28	1
210	281	28	1
235	281	28	1
248	281	28	2
250	281	28	3
252	281	28	1
235	282	28	1
247	282	28	1
249	282	28	1
251	282	28	2
238	283	28	1
247	283	28	4
249	283	28	1
254	283	28	2
235	284	28	1
246	284	28	2
250	284	28	1
254	284	28	2
238	285	28	1
239	285	28	1
240	285	28	2
244	285	28	1
245	285	28	1
248	285	28	1
232	286	28	2
235	286	28	1
247	286	28	2
248	286	28	1
249	286	28	2
240	287	28	2
244	287	28	1
245	287	28	1
246	287	28	1
248	287	28	3
238	288	28	1
242	288	28	1
227	289	28	1
228	289	28	1
231	289	28	1
246	289	28	2
247	289	28	1
249	289	28	1
253	289	28	1
242	290	28	1
244	290	28	4
245	290	28	2
226	291	28	3
237	291	28	1
239	291	28	1
247	291	28	2
248	291	28	1
222	292	28	3
240	292	28	1
245	292	28	2
247	292	28	2
248	292	28	1
250	292	28	1
240	293	28	1
248	293	28	1
250	293	28	3
241	294	28	2
242	294	28	1
245	294	28	1
249	294	28	1
251	294	28	2
240	295	28	1
241	295	28	1
242	295	28	1
245	295	28	1
248	295	28	1
240	296	28	1
239	297	28	1
245	297	28	2
225	300	28	1
236	300	28	3
240	300	28	2
229	255	29	1
234	256	29	1
235	256	29	1
182	257	29	1
181	258	29	1
190	258	29	2
228	258	29	2
233	258	29	1
234	258	29	1
235	258	29	2
182	259	29	1
188	259	29	1
229	259	29	2
230	259	29	2
181	260	29	2
182	260	29	1
240	260	29	1
183	261	29	1
187	261	29	1
227	261	29	3
229	261	29	3
230	261	29	1
220	262	29	1
221	262	29	1
227	262	29	1
229	262	29	3
248	262	29	1
222	263	29	1
231	263	29	2
234	263	29	2
248	263	29	1
178	264	29	3
215	264	29	3
216	264	29	3
224	264	29	1
229	264	29	1
230	264	29	1
231	264	29	1
237	264	29	1
238	264	29	2
245	264	29	2
248	264	29	1
181	265	29	2
215	265	29	1
226	265	29	2
232	265	29	1
234	265	29	2
235	265	29	2
238	265	29	1
239	265	29	1
249	265	29	1
178	266	29	1
195	266	29	2
197	266	29	1
226	266	29	1
228	266	29	2
230	266	29	1
232	266	29	2
234	266	29	1
236	266	29	1
237	266	29	2
245	266	29	2
248	266	29	1
250	266	29	1
192	267	29	1
193	267	29	1
199	267	29	3
231	267	29	2
232	267	29	2
234	267	29	2
235	267	29	1
236	267	29	2
237	267	29	1
241	267	29	1
217	268	29	1
226	268	29	2
231	268	29	1
235	268	29	2
236	268	29	2
239	268	29	2
244	268	29	2
196	269	29	3
204	269	29	2
232	269	29	2
234	269	29	1
248	269	29	1
249	269	29	1
178	270	29	2
227	270	29	2
230	270	29	1
232	270	29	1
234	270	29	2
235	270	29	1
238	270	29	1
239	270	29	3
203	271	29	2
214	271	29	1
215	271	29	3
216	271	29	1
234	271	29	1
235	271	29	1
237	271	29	2
238	271	29	1
240	271	29	2
241	271	29	2
242	271	29	1
249	271	29	3
251	271	29	1
211	272	29	1
232	272	29	1
234	272	29	2
235	272	29	4
236	272	29	3
238	272	29	3
239	272	29	1
241	272	29	1
245	272	29	2
251	272	29	2
182	273	29	2
207	273	29	1
211	273	29	3
212	273	29	2
225	273	29	3
238	273	29	1
249	273	29	1
250	273	29	2
213	274	29	2
214	274	29	1
232	274	29	1
233	274	29	1
235	274	29	2
236	274	29	2
238	274	29	1
239	274	29	1
247	274	29	3
184	275	29	2
206	275	29	2
215	275	29	2
232	275	29	1
235	275	29	1
236	275	29	1
237	275	29	1
240	275	29	2
241	275	29	2
242	275	29	1
245	275	29	1
204	276	29	1
206	276	29	1
208	276	29	4
228	276	29	1
234	276	29	2
236	276	29	1
237	276	29	1
238	276	29	1
246	276	29	1
248	276	29	1
249	276	29	3
252	276	29	1
232	277	29	1
236	277	29	2
239	277	29	3
240	277	29	2
247	277	29	2
250	277	29	1
251	277	29	1
204	278	29	3
235	278	29	1
238	278	29	3
245	278	29	4
250	278	29	3
235	279	29	1
236	279	29	1
238	279	29	1
247	279	29	3
248	279	29	1
252	279	29	2
254	279	29	3
233	280	29	1
236	280	29	3
241	280	29	2
250	280	29	2
251	280	29	1
252	280	29	1
254	280	29	2
256	280	29	4
224	281	29	1
232	281	29	1
233	281	29	2
237	281	29	2
238	281	29	2
241	281	29	2
243	281	29	2
245	281	29	1
247	281	29	1
248	281	29	1
249	281	29	1
250	281	29	2
251	281	29	2
212	282	29	1
213	282	29	1
233	282	29	1
235	282	29	4
245	282	29	2
246	282	29	2
249	282	29	1
254	282	29	1
209	283	29	1
215	283	29	1
232	283	29	1
233	283	29	1
234	283	29	3
237	283	29	1
238	283	29	3
239	283	29	1
244	283	29	1
245	283	29	2
246	283	29	1
247	283	29	1
248	283	29	1
249	283	29	1
250	283	29	1
251	283	29	1
211	284	29	1
220	284	29	1
222	284	29	1
232	284	29	2
234	284	29	4
236	284	29	3
237	284	29	1
238	284	29	2
240	284	29	2
242	284	29	2
243	284	29	2
244	284	29	1
245	284	29	2
246	284	29	1
250	284	29	2
226	285	29	1
233	285	29	1
236	285	29	2
238	285	29	1
239	285	29	3
241	285	29	3
242	285	29	2
243	285	29	1
244	285	29	2
246	285	29	2
247	285	29	2
250	285	29	1
253	285	29	2
254	285	29	1
211	286	29	2
232	286	29	3
233	286	29	2
234	286	29	1
236	286	29	1
241	286	29	2
242	286	29	1
247	286	29	1
249	286	29	1
225	287	29	3
231	287	29	2
232	287	29	1
233	287	29	1
234	287	29	4
236	287	29	3
240	287	29	1
244	287	29	1
246	287	29	4
247	287	29	2
226	288	29	2
228	288	29	1
233	288	29	1
234	288	29	2
235	288	29	2
240	288	29	4
241	288	29	1
242	288	29	1
243	288	29	3
244	288	29	1
245	288	29	3
249	288	29	1
253	288	29	2
224	289	29	2
234	289	29	2
235	289	29	1
237	289	29	1
240	289	29	2
243	289	29	2
244	289	29	6
246	289	29	1
247	289	29	2
222	290	29	1
224	290	29	1
225	290	29	1
227	290	29	1
228	290	29	1
230	290	29	2
237	290	29	2
239	290	29	3
240	290	29	1
245	290	29	3
247	290	29	3
222	291	29	3
224	291	29	1
225	291	29	2
238	291	29	1
239	291	29	4
240	291	29	1
245	291	29	1
246	291	29	2
248	291	29	1
249	291	29	2
251	291	29	1
225	292	29	1
227	292	29	2
237	292	29	1
239	292	29	2
243	292	29	1
247	292	29	1
248	292	29	1
249	292	29	2
250	292	29	1
257	292	29	1
223	293	29	1
227	293	29	2
237	293	29	1
239	293	29	3
242	293	29	4
246	293	29	2
249	293	29	1
252	293	29	1
224	294	29	1
236	294	29	2
238	294	29	1
242	294	29	1
246	294	29	3
248	294	29	1
220	295	29	1
221	295	29	2
223	295	29	3
