x	y	z	Transcription of E2F targets under negative control by DREAM complex
232	278	27	2
239	278	27	1
244	278	27	1
207	279	27	1
208	279	27	2
210	279	27	1
231	279	27	1
236	279	27	1
241	279	27	1
242	279	27	1
243	279	27	1
248	279	27	2
250	279	27	2
251	279	27	1
205	280	27	2
207	280	27	1
208	280	27	1
233	280	27	1
235	280	27	1
236	280	27	1
238	280	27	1
243	280	27	1
245	280	27	1
249	280	27	1
250	280	27	1
210	281	27	2
222	281	27	1
229	281	27	2
234	281	27	1
239	281	27	1
243	281	27	1
245	281	27	1
252	281	27	1
210	282	27	1
212	282	27	1
214	282	27	1
217	282	27	1
229	282	27	1
236	282	27	1
239	282	27	2
241	282	27	1
244	282	27	1
245	282	27	1
249	282	27	2
252	282	27	3
253	282	27	1
201	283	27	1
207	283	27	1
221	283	27	1
231	283	27	1
232	283	27	1
234	283	27	2
243	283	27	3
206	284	27	1
207	284	27	1
208	284	27	1
212	284	27	1
235	284	27	1
237	284	27	1
251	284	27	1
255	284	27	1
256	284	27	1
199	285	27	2
200	285	27	2
206	285	27	1
208	285	27	1
210	285	27	2
211	285	27	1
213	285	27	1
215	285	27	2
219	285	27	1
220	285	27	1
223	285	27	1
224	285	27	2
233	285	27	2
235	285	27	1
236	285	27	1
239	285	27	3
242	285	27	1
249	285	27	1
250	285	27	2
253	285	27	1
254	285	27	1
256	285	27	1
209	286	27	1
211	286	27	1
216	286	27	1
220	286	27	1
233	286	27	1
234	286	27	1
235	286	27	1
236	286	27	1
237	286	27	1
245	286	27	1
248	286	27	2
252	286	27	1
255	286	27	1
207	287	27	1
214	287	27	1
221	287	27	1
227	287	27	1
228	287	27	1
231	287	27	1
243	287	27	3
248	287	27	1
214	288	27	1
225	288	27	1
231	288	27	1
232	288	27	1
233	288	27	1
237	288	27	1
241	288	27	1
246	288	27	1
249	288	27	1
251	288	27	2
252	288	27	1
253	288	27	1
203	289	27	1
209	289	27	3
219	289	27	1
225	289	27	1
226	289	27	2
235	289	27	1
240	289	27	1
242	289	27	2
248	289	27	1
254	289	27	1
207	290	27	1
214	290	27	1
226	290	27	1
233	290	27	1
235	290	27	1
243	290	27	2
246	290	27	3
211	291	27	1
213	291	27	1
224	291	27	1
229	291	27	2
236	291	27	2
240	291	27	1
248	291	27	1
257	291	27	2
211	292	27	2
213	292	27	1
218	292	27	1
219	292	27	1
220	292	27	1
222	292	27	1
223	292	27	1
224	292	27	1
229	292	27	1
238	292	27	2
248	292	27	1
250	292	27	1
251	292	27	1
252	292	27	1
254	292	27	1
217	293	27	1
219	293	27	1
220	293	27	1
222	293	27	1
225	293	27	2
229	293	27	1
239	293	27	1
253	293	27	1
211	294	27	1
217	294	27	1
220	294	27	2
226	294	27	2
235	294	27	1
246	294	27	1
252	294	27	1
253	294	27	2
254	294	27	1
257	294	27	1
220	295	27	1
221	295	27	1
226	295	27	1
241	295	27	1
255	295	27	1
211	296	27	1
237	296	27	1
245	296	27	1
246	296	27	1
252	296	27	2
236	297	27	1
237	297	27	3
238	297	27	1
243	297	27	1
245	297	27	1
248	297	27	1
249	297	27	2
253	297	27	1
226	298	27	1
238	298	27	2
241	298	27	1
243	298	27	1
244	298	27	3
247	298	27	1
215	299	27	1
223	299	27	1
229	299	27	1
236	299	27	1
242	299	27	1
247	299	27	2
248	299	27	1
235	300	27	2
237	300	27	3
241	300	27	1
247	300	27	2
224	301	27	2
234	301	27	1
238	301	27	2
239	301	27	1
243	301	27	1
247	301	27	1
238	302	27	2
244	302	27	1
245	302	27	1
241	303	27	2
236	304	27	1
243	304	27	1
244	304	27	1
237	305	27	1
230	262	28	1
231	266	28	1
234	266	28	1
231	268	28	1
236	269	28	1
236	271	28	2
237	271	28	2
234	272	28	1
236	272	28	1
250	272	28	1
238	277	28	1
237	279	28	1
239	280	28	1
208	281	28	1
235	281	28	2
250	281	28	1
247	282	28	1
238	283	28	1
248	284	28	1
238	285	28	1
239	285	28	2
244	285	28	1
245	285	28	1
248	285	28	1
249	286	28	1
246	287	28	1
251	287	28	2
224	288	28	1
242	288	28	2
245	288	28	1
231	289	28	2
247	289	28	1
249	289	28	2
226	290	28	1
237	290	28	1
240	290	28	1
237	291	28	1
240	291	28	1
241	292	28	1
247	292	28	1
248	292	28	1
240	293	28	1
248	293	28	1
249	293	28	1
250	293	28	1
242	294	28	1
249	294	28	1
250	294	28	1
245	295	28	1
240	299	28	1
236	300	28	2
229	255	29	1
233	256	29	1
190	258	29	2
228	258	29	1
235	258	29	1
237	258	29	1
181	260	29	2
182	260	29	1
234	260	29	1
240	260	29	1
230	261	29	1
231	261	29	1
220	262	29	1
248	262	29	1
232	263	29	1
178	264	29	2
215	264	29	1
226	264	29	1
231	264	29	1
238	264	29	1
233	265	29	2
229	266	29	1
236	266	29	1
197	267	29	1
230	267	29	1
237	267	29	2
241	267	29	1
201	268	29	1
231	268	29	1
235	268	29	1
237	268	29	1
238	268	29	2
250	268	29	1
180	269	29	1
193	269	29	1
204	269	29	1
232	269	29	1
237	269	29	1
240	269	29	1
248	269	29	1
249	269	29	1
215	270	29	2
230	270	29	1
231	270	29	1
232	270	29	2
237	270	29	1
238	270	29	1
250	270	29	1
203	271	29	1
229	271	29	1
235	271	29	2
237	271	29	1
242	271	29	1
213	272	29	2
214	272	29	2
215	272	29	2
232	272	29	1
207	273	29	1
211	273	29	1
225	273	29	1
236	273	29	3
238	273	29	1
249	273	29	1
250	273	29	1
213	274	29	1
232	274	29	1
234	274	29	1
247	274	29	1
250	274	29	1
184	275	29	2
231	275	29	2
232	275	29	3
238	275	29	1
242	275	29	1
205	276	29	1
208	276	29	1
236	276	29	1
237	276	29	1
246	276	29	1
249	276	29	1
252	276	29	3
234	277	29	1
250	277	29	1
204	278	29	1
236	278	29	1
239	278	29	1
244	278	29	1
245	279	29	1
246	279	29	1
205	280	29	1
236	280	29	1
245	280	29	1
250	280	29	1
251	280	29	2
252	280	29	1
256	280	29	1
234	281	29	1
235	281	29	1
237	281	29	1
238	281	29	1
245	281	29	1
246	281	29	3
248	281	29	1
206	282	29	1
241	282	29	1
242	282	29	1
231	283	29	2
234	283	29	1
238	283	29	1
245	283	29	1
246	283	29	1
247	283	29	1
248	283	29	1
250	283	29	1
233	284	29	1
235	284	29	1
236	284	29	1
241	284	29	1
242	284	29	1
245	284	29	1
248	284	29	1
249	284	29	2
255	284	29	1
226	285	29	1
239	285	29	1
242	285	29	1
244	285	29	1
248	285	29	1
250	285	29	1
236	286	29	1
241	286	29	1
243	286	29	2
249	286	29	1
225	287	29	1
232	287	29	1
238	287	29	2
244	287	29	1
245	287	29	1
247	287	29	1
224	288	29	1
226	288	29	1
236	288	29	1
240	288	29	1
241	288	29	2
244	288	29	1
249	288	29	1
224	289	29	1
228	289	29	2
236	289	29	1
237	289	29	1
240	289	29	1
245	289	29	1
226	290	29	1
230	290	29	2
242	290	29	1
246	290	29	1
226	291	29	3
239	291	29	2
247	291	29	1
227	292	29	1
236	292	29	1
238	292	29	1
241	292	29	1
242	292	29	1
257	292	29	1
227	293	29	1
237	293	29	1
247	293	29	1
248	293	29	1
252	293	29	1
224	294	29	1
238	294	29	1
240	294	29	1
243	294	29	1
251	294	29	1
221	295	29	1
241	295	29	1
222	296	29	1
252	296	29	1
227	297	29	2
238	297	29	1
242	297	29	1
247	297	29	1
248	297	29	1
219	298	29	1
242	298	29	1
245	298	29	1
247	298	29	1
248	298	29	1
221	299	29	1
222	299	29	1
226	299	29	1
241	299	29	1
225	300	29	1
226	300	29	1
227	300	29	1
237	300	29	1
239	300	29	1
247	300	29	2
221	301	29	1
227	301	29	1
250	302	29	1
240	303	29	1
225	251	30	2
233	252	30	2
228	253	30	1
235	254	30	2
234	255	30	1
230	256	30	1
231	256	30	1
233	256	30	1
236	256	30	2
183	257	30	1
190	257	30	1
215	257	30	1
228	257	30	1
236	257	30	2
237	257	30	2
239	257	30	1
175	258	30	1
181	258	30	1
186	258	30	1
226	258	30	1
227	258	30	3
238	258	30	2
195	259	30	3
205	259	30	1
210	259	30	2
214	259	30	1
226	259	30	1
228	259	30	2
235	259	30	2
237	259	30	1
196	260	30	1
223	260	30	1
227	260	30	1
237	260	30	1
186	261	30	1
187	261	30	1
194	261	30	1
196	261	30	3
198	261	30	1
208	261	30	1
209	261	30	1
211	261	30	1
219	261	30	1
226	261	30	1
227	261	30	2
229	261	30	1
236	261	30	1
238	261	30	1
239	261	30	1
244	261	30	1
246	261	30	1
249	261	30	1
178	262	30	1
193	262	30	1
194	262	30	1
220	262	30	1
223	262	30	1
226	262	30	1
231	262	30	1
242	262	30	1
248	262	30	1
249	262	30	1
185	263	30	1
186	263	30	1
188	263	30	1
189	263	30	2
193	263	30	2
197	263	30	1
215	263	30	3
218	263	30	1
230	263	30	1
232	263	30	1
234	263	30	1
186	264	30	2
188	264	30	1
194	264	30	2
222	264	30	1
227	264	30	1
229	264	30	1
230	264	30	1
231	264	30	1
246	264	30	1
249	264	30	1
191	265	30	1
192	265	30	1
193	265	30	1
196	265	30	1
208	265	30	1
210	265	30	1
212	265	30	1
213	265	30	1
231	265	30	1
244	265	30	2
184	266	30	3
187	266	30	1
188	266	30	1
193	266	30	1
195	266	30	1
211	266	30	2
212	266	30	1
213	266	30	1
229	266	30	3
230	266	30	1
247	266	30	2
194	267	30	1
199	267	30	1
208	267	30	1
219	267	30	1
229	267	30	1
238	267	30	2
241	267	30	1
245	267	30	1
172	268	30	1
191	268	30	1
194	268	30	2
196	268	30	1
216	268	30	1
217	268	30	1
223	268	30	2
231	268	30	1
235	268	30	1
244	268	30	1
246	268	30	3
180	269	30	1
182	269	30	2
199	269	30	1
211	269	30	1
214	269	30	2
215	269	30	1
233	269	30	1
235	269	30	1
236	269	30	1
239	269	30	1
244	269	30	2
247	269	30	2
252	269	30	1
178	270	30	1
184	270	30	1
186	270	30	1
194	270	30	1
200	270	30	1
207	270	30	1
230	270	30	1
234	270	30	2
238	270	30	1
244	270	30	1
249	270	30	2
176	271	30	2
183	271	30	2
193	271	30	3
198	271	30	1
199	271	30	1
201	271	30	1
204	271	30	1
207	271	30	3
212	271	30	2
216	271	30	1
232	271	30	1
243	271	30	1
249	271	30	2
181	272	30	1
207	272	30	2
223	272	30	1
233	272	30	1
235	272	30	1
238	272	30	1
239	272	30	1
242	272	30	2
247	272	30	1
204	273	30	1
213	273	30	1
232	273	30	1
234	273	30	2
240	273	30	1
241	273	30	2
182	274	30	1
203	274	30	1
208	274	30	1
209	274	30	1
211	274	30	1
233	274	30	1
234	274	30	1
241	274	30	2
244	274	30	1
251	274	30	1
179	275	30	1
203	275	30	1
211	275	30	1
213	275	30	2
215	275	30	1
233	275	30	2
235	275	30	1
236	275	30	1
237	275	30	2
238	275	30	3
239	275	30	2
240	275	30	1
242	275	30	1
249	275	30	1
250	275	30	1
179	276	30	1
186	276	30	1
207	276	30	1
233	276	30	2
240	276	30	1
241	276	30	1
206	277	30	1
208	277	30	1
232	277	30	2
235	277	30	1
241	277	30	2
243	277	30	2
251	277	30	1
175	278	30	3
206	278	30	1
226	278	30	1
235	278	30	2
237	278	30	1
246	278	30	2
247	278	30	2
248	278	30	1
249	278	30	1
253	278	30	1
207	279	30	1
219	279	30	1
221	279	30	1
240	279	30	1
245	279	30	1
246	279	30	1
247	279	30	1
251	279	30	1
235	280	30	1
237	280	30	2
239	280	30	1
241	280	30	1
249	280	30	1
179	281	30	1
181	281	30	2
218	281	30	2
223	281	30	1
224	281	30	1
234	281	30	1
237	281	30	1
240	281	30	1
241	281	30	1
243	281	30	1
246	281	30	2
251	281	30	1
252	281	30	2
172	282	30	1
177	282	30	2
187	282	30	1
213	282	30	2
222	282	30	1
229	282	30	1
235	282	30	1
237	282	30	1
241	282	30	2
251	282	30	2
256	282	30	1
220	283	30	1
223	283	30	1
241	283	30	2
249	283	30	1
250	283	30	1
257	283	30	1
173	284	30	1
177	284	30	2
180	284	30	1
181	284	30	1
219	284	30	1
226	284	30	1
231	284	30	1
236	284	30	1
238	284	30	1
244	284	30	1
245	284	30	1
249	284	30	1
253	284	30	2
258	284	30	1
222.5	285.5	30.5	1
225	285	30	1
227	285	30	2
229	285	30	1
232	285	30	1
234	285	30	1
237	285	30	1
242	285	30	1
245	285.666666666667	31	2
246	285	30	1
251	285	30	1
206	286	30	1
240	286	30	1
241	286	30	1
243	286	30	2
246	286	30	2
249	286	30	1
251	286	30	1
255	286	30	1
256	286	30	1
257	286	30	1
219	287	30	1
225	287	30	1
231	287	30	2
233	287	30	1
250	287	30	1
251	287	30	2
221	288	30	1
226	288	30	1
228	288	30	1
231	288	30	1
233	288	30	1
239	288	30	1
244	288	30	1
247	288	30	1
248	288	30	1
253	288	30	1
201	289	30	2
221	289	30	2
222	289	30	2
223	289	30	1
235	289	30	1
238	289	30	1
243	289	30	1
246	289	30	1
247	289	30	1
222	290	30	1
224	290	30	3
226	290	30	2
236	290	30	1
240	290	30	1
246	290	30	1
248	290	30	1
250	290	30	1
253	290	30	1
198	291	30	1
223	291	30	1
226	291	30	1
229	291	30	1
238	291	30	1
239	291	30	1
244	291	30	1
245	291	30	1
246	291	30	1
248	291	30	1
255	291	30	2
258	291	30	1
198	292	30	1
226	292	30	1
229	292	30	1
230	292	30	1
236	292	30	2
245	292	30	1
247	292	30	1
251	292	30	1
257	292	30	1
219	293	30	1
224	293	30	1
231	293	30	2
233	293	30	1
234	293	30	1
236	293	30	1
238	293	30	2
239	293	30	1
243	293	30	1
244	293	30	1
246	293	30	1
250	293	30	1
253	293	30	1
189	294	30	2
221	294	30	2
229	294	30	1
232	294	30	1
233	294	30	2
240	294	30	1
243	294	30	1
244	294	30	1
251	294	30	1
253	294	30	1
258	294	30	1
220	295	30	1
221	295	30	1
226	295	30	1
227	295	30	1
234	295	30	1
250	295	30	1
254	295	30	1
255	295	30	1
228	296	30	1
233	296	30	1
235	296	30	1
237	296	30	1
242	296	30	1
243	296	30	1
253	296	30	1
220	297	30	1
221	297	30	1
223	297	30	1
227	297	30	1
229	297	30	2
238	297	30	1
243	297	30	1
252	297	30	1
224	298	30	1
228	298	30	1
230	298	30	1
240	298	30	1
247	298	30	1
250	298	30	1
218	299	30	2
224	299	30	1
227	299	30	1
231	299	30	1
236	299	30	1
242	299	30	1
247	299	30	1
250	299	30	1
231	300	30	1
232	300	30	2
248	300	30	1
223	301	30	1
235	301	30	1
236	301	30	1
240	301	30	1
241	301	30	1
243	301	30	1
221	302	30	1
236	302	30	1
238	302	30	1
240	302	30	1
242	302	30	1
223	303	30	1
225	303	30	3
237	303	30	1
238	303	30	1
241	303	30	1
233	304	30	2
237	304	30	1
242	304	30	1
236	305	30	2
238	306	30	2
224	250	31	1
226	250	31	1
227	250	31	3
225	252	31	1
226	252	31	1
228	253	31	1
238	253	31	1
235	254	31	1
238	254	31	4
195	255	31	2
226	255	31	1
234	255	31	1
236	255	31	2
237	255	31	1
238	255	31	1
233	256	31	1
239	256	31	2
202	257	31	2
238	257	31	1
190	258	31	1
227	258	31	2
231	258	31	1
233	258	31	1
234	258	31	1
239	258	31	1
240	258	31	1
206	259	31	1
209	259	31	1
219	259	31	2
229	259	31	1
188	260	31	1
195	260	31	1
218	260	31	2
220	260	31	1
227	260	31	1
235	260	31	1
238	260	31	1
240	260	31	1
242	260	31	1
244	260	31	2
187	261	31	1
188	261	31	2
208	261	31	3
213	261	31	1
216	261	31	1
224	261	31	1
225	261	31	1
227	261	31	1
239	261	31	2
244	261	31	1
245	261	31	1
216	262	31	1
225	262	31	4
226	262	31	2
227	262	31	1
229	262	31	2
233	262	31	1
238	262	31	1
246	262	31	1
248	262	31	1
185	263	31	1
188	263	31	1
194	263	31	1
215	263	31	1
219	263	31	1
227	263	31	1
228	263	31	1
229	263	31	2
232	263	31	1
248	263	31	1
249	263	31	1
178	264	31	1
185	264	31	1
188	264	31	1
190	264	31	1
194	264	31	2
197	264	31	1
199	264	31	1
204	264	31	1
217	264	31	1
220	264	31	1
222	264	31	1
227	264	31	1
228	264	31	1
231	264	31	2
244	264	31	1
249	264	31	3
186	265	31	1
213	265	31	1
214	265	31	1
222	265	31	1
223	265	31	1
232	265	31	1
233	265	31	2
235	265	31	1
243	265	31	1
245	265	31	1
246	265	31	1
191	266	31	1
197	266	31	3
212	266	31	2
213	266	31	1
215	266	31	1
231	266	31	1
233	266	31	2
244	266	31	2
245	266	31	1
247	266	31	1
194	267	31	1
197	267	31	1
199	267	31	2
211	267	31	1
222	267	31	2
227	267	31	1
228	267	31	1
230	267	31	1
236	267	31	1
237	267	31	1
244	267	31	1
245	267	31	3
246	267	31	1
248	267	31	1
183	268	31	1
184	268	31	1
188	268	31	1
193	268	31	2
195	268	31	2
197	268	31	1
210	268	31	1
216	268	31	1
219	268	31	1
224	268	31	1
225	268	31	1
247	268	31	2
173	269	31	1
182	269	31	1
184	269	31	1
191	269	31	1
201	269	31	1
206	269	31	3
213	269	31	1
214	269	31	1
215	269	31	1
239	269	31	1
247	269	31	2
248	269	31	1
249	269	31	2
173	270	31	1
178	270	31	1
194	270	31	1
200	270	31	1
201	270	31	1
231	270	31	2
234	270	31	1
249	270	31	1
174	271	31	1
185	271	31	1
209	271	31	1
210	271	31	1
212	271	31	1
213	271	31	1
215	271	31	1
232	271	31	2
239	271	31	1
241	271	31	1
251	271	31	1
182	272	31	1
184	272	31	1
199	272	31	2
204	272	31	1
211	272	31	2
212	272	31	1
213	272	31	1
214	272	31	1
230	272	31	1
235	272	31	1
236	272	31	1
243	272	31	1
176	273	31	1
181	273	31	1
184	273	31	1
210	273	31	1
213	273	31	1
237	273	31	1
244	273	31	1
248	273	31	1
175	274	31	1
179	274	31	1
182	274	31	1
203	274	31	1
209	274	31	1
211	274	31	1
213	274	31	1
226	274	31	2
243	274	31	1
244	274	31	2
248	274	31	2
250	274	31	1
184	275	31	1
211	275	31	1
236	275	31	1
239	275	31	1
181	276	31	1
226	276	31	1
234	276	31	1
238	276	31	1
239	276	31	1
243	276	31	1
246	276	31	3
253	276	31	1
209	277	31	1
234	277	31	1
237	277	31	1
241	277	31	1
243	277	31	2
245	277	31	2
242	278	31	1
246	278	31	1
249	278	31	1
207	279	31	2
238	279	31	2
243	279	31	1
245	279	31	1
249	279	31	1
253	279	31	1
254	279	31	1
205	280	31	1
219	280	31	1
238	280	31	1
245	280	31	1
247	280	31	1
249	280	31	1
204	281	31	1
206	281	31	2
220	281	31	1
228	281	31	2
233	281	31	1
239	281	31	1
240	281	31	1
241	281	31	1
173	282	31	1
225	282	31	1
234	282	31	1
235	282	31	1
238	282	31	1
240	282	31	3
246	282	31	1
249	282	31	1
252	282	31	1
254	282	31	1
256	282	31	1
184	283	31	2
208	283	31	2
230	283	31	1
232	283	31	1
235	283	31	2
239	283	31	1
243	283	31	1
252	283	31	1
176	284	31	1
182	284	31	1
223	284	31	1
231	284	31	1
235	284	31	1
243	284	31	1
249	284	31	1
250	284	31	1
177	285	31	2
178	285	31	1
183	285	31	1
220	285	31	1
231	285	31	1
233	285	31	1
234	285	31	1
235	285	31	1
244	285	31	1
245	285	31	2
248	285	31	1
253	285	31	1
255	285	31	1
178	286	31	1
220	286	31	1
225	286	31	1
231	286	31	1
219	287	31	2
228	287	31	2
229	287	31	1
230	287	31	1
240	287	31	1
241	287	31	1
248	287	31	1
253	287	31	1
186	288	31	1
187	288	31	2
225	288	31	1
228	288	31	1
230	288	31	2
233	288	31	1
236	288	31	1
241	288	31	1
242	288	31	2
244	288	31	1
247	288	31	1
185	289	31	1
227	289	31	1
228	289	31	2
232	289	31	1
234	289	31	2
238	289	31	1
246	289	31	1
250	289	31	1
254	289	31	1
226	290	31	3
227	290	31	2
230	290	31	1
235	290	31	1
240	290	31	1
247	290	31	1
250	290	31	1
199	291	31	1
204	291	31	1
222	291	31	1
223	291	31	2
226	291	31	1
229	291	31	1
231	291	31	1
241	291	31	1
242	291	31	1
244	291	31	1
245	291	31	2
247	291	31	2
248	291	31	1
255	291	31	1
221	292	31	1
230	292	31	1
236	292	31	2
250	292	31	1
256	292	31	1
221	293	31	1
230	293	31	1
241	294	32.8	1
242	293	31	1
243	293	31	1
253	293	31	1
198	294	31	1
202	294	31	2
209	294	31	1
224	294	31	1
225	294	31	1
227	294	31	1
228	294	31	1
237	294	31	1
241	294	31	1
242	294	31	2
243	294	31	1
198	295	31	1
202	295	31	1
220	295	31	1
223	295	31	1
225	295	31	1
226	295	31	1
228	295	31	1
231	295	31	1
233	295	31	1
234	295	31	1
235	295	31	1
240	295	31	1
241	295	31	1
242	295	31	1
243	295	31	1
244	295	31	1
250	295	31	1
257	295	31	1
197	296	31	1
199	296	31	1
224	296	31	2
235	296	31	1
242	296	31	1
247	296	31	2
248	296	31	2
252	296	31	1
253	296	31	1
254	296	31	1
227	297	31	1
231	297	31	1
234	297	31	1
235	297	31	1
223	298	31	1
224	298	31	1
226	298	31	1
238	298	31	1
