x	y	z	Regulation of PTEN gene transcription
243	278	26	1
251	278	26	1
252	278	26	3
231	279	26	1
232	279	26	1
234	279	26	1
236	279	26	2
239	279	26	2
240	279	26	1
248	279	26	1
249	279	26	2
208	280	26	3
230	280	26	1
232	280	26	3
233	280	26	1
236	280	26	1
238	280	26	1
241	280	26	2
242	280	26	1
247	280	26	2
217	281	26	2
230	281	26	1
232	281	26	1
234	281	26	2
237	281	26	1
239	281	26	2
240	281	26	3
244	281	26	4
246	281	26	1
247	281	26	2
250	281	26	1
208	282	26	1
212	282	26	1
229	282	26	2
231	282	26	2
233	282	26	2
234	282	26	1
238	282	26	3
240	282	26	1
246	282	26	1
249	282	26	1
251	282	26	1
253	282	26	2
254	282	26	1
209	283	26	3
227	283	26	1
231	283	26	2
233	283	26	4
234	283	26	1
238	283	26	1
239	283	26	1
241	283	26	1
243	283	26	1
248	283	26	2
253	283	26	5
212	284	26	1
233	284	26	1
234	284	26	1
235	284	26	1
237	284	26	1
238	284	26	1
242	284	26	1
243	284	26	1
250	284	26	1
252	284	26	2
214	285	26	1
234	285	26	1
235	285	26	2
237	285	26	4
240	285	26	2
241	285	26	1
244	285	26	1
245	285	26	1
246	285	26	1
232	286	26	4
233	286	26	2
235	286	26	1
237	286	26	2
240	286	26	1
247	286	26	4
248	286	26	3
250	286	26	1
251	286	26	1
253	286	26	1
254	286	26	1
223	287	26	2
224	287	26	1
232	287	26	1
234	287	26	1
237	287	26	3
238	287	26	1
243	287	26	2
247	287	26	1
248	287	26	1
250	287	26	2
252	287	26	3
253	287	26	1
232	288	26	1
235	288	26	1
240	288	26	2
243	288	26	1
245	288	26	1
248	288	26	2
250	288	26	1
252	288	26	1
227	289	26	1
234	289	26	1
236	289	26	1
237	289	26	1
240	289	26	1
250	289	26	2
251	289	26	1
252	289	26	1
225	290	26	1
227	290	26	1
228	290	26	1
238	290	26	1
239	290	26	1
242	290	26	1
244	290	26	2
250	290	26	2
222	291	26	2
232	291	26	3
237	291	26	1
244	291	26	1
245	291	26	2
249	291	26	1
250	291	26	1
226	292	26	3
237	292	26	1
239	292	26	2
245	292	26	2
246	292	26	1
250	292	26	1
252	292	26	2
225	293	26	1
234	293	26	2
236	293	26	3
244	293	26	2
247	293	26	2
237	294	26	1
241	294	26	2
242	294	26	1
244	294	26	1
245	294	26	2
249	294	26	1
221	295	26	1
234	295	26	1
240	295	26	2
242	295	26	1
243	295	26	2
244	295	26	1
245	295	26	1
248	295	26	1
254	295	26	2
235	296	26	1
239	296	26	1
241	296	26	1
242	296	26	1
243	296	26	1
244	296	26	1
236	297	26	1
237	297	26	1
239	297	26	1
240	297	26	1
242	297	26	1
244	297	26	1
245	297	26	1
246	297	26	1
235	298	26	2
239	298	26	1
242	298	26	1
241	299	26	2
243	299	26	1
225	300	26	2
236	300	26	3
241	300	26	1
235	301	26	1
182	255	27	1
184	255	27	2
181	257	27	1
186	257	27	1
184	258	27	1
183	259	27	1
184	259	27	1
185	259	27	1
188	259	27	2
228	259	27	2
231	259	27	1
186	260	27	1
228	260	27	2
233	260	27	1
235	260	27	1
240	260	27	2
182	261	27	2
220	261	27	2
227	261	27	1
228	261	27	2
229	261	27	2
231	261	27	1
232	261	27	1
234	261	27	2
236	261	27	2
237	261	27	1
239	261	27	2
182	262	27	1
184	262	27	3
227	262	27	2
229	262	27	1
239	262	27	4
178	263	27	1
184	263	27	2
185	263	27	1
215	263	27	1
220	263	27	4
229	263	27	3
230	263	27	1
231	263	27	3
239	263	27	2
244	263	27	1
186	264	27	1
222	264	27	2
224	264	27	1
226	264	27	1
228	264	27	1
229	264	27	1
231	264	27	1
232	264	27	1
234	264	27	1
238	264	27	1
248	264	27	1
184	265	27	1
189	265	27	2
225	265	27	1
233	265	27	1
235	265	27	1
237	265	27	2
238	265	27	2
178	266	27	1
179	266	27	1
180	266	27	1
215	266	27	1
216	266	27	1
217	266	27	3
221	266	27	1
224	266	27	1
227	266	27	1
228	266	27	1
229	266	27	1
230	266	27	2
232	266	27	1
234	266	27	2
235	266	27	4
237	266	27	1
215	267	27	1
228	267	27	1
229	267	27	2
232	267	27	2
235	267	27	1
239	267	27	2
240	267	27	3
249	267	27	1
250	267	27	1
180	268	27	1
181	268	27	2
213	268	27	2
215	268	27	1
217	268	27	1
224	268	27	2
225	268	27	1
231	268	27	2
232	268	27	1
233	268	27	2
234	268	27	1
236	268	27	1
237	268	27	3
238	268	27	1
240	268	27	1
243	268	27	3
247	268	27	1
248	268	27	2
177	269	27	2
178	269	27	2
179	269	27	3
182	269	27	1
201	269	27	1
211	269	27	2
213	269	27	2
214	269	27	1
215	269	27	1
218	269	27	1
224	269	27	1
227	269	27	1
234	269	27	1
235	269	27	2
236	269	27	2
237	269	27	1
238	269	27	1
239	269	27	1
240	269	27	3
241	269	27	1
242	269	27	3
252	269	27	2
192	270	27	2
207	270	27	1
215	270	27	1
217	270	27	1
218	270	27	1
226	270	27	1
228	270	27	1
230	270	27	1
231	270	27	1
233	270	27	1
234	270	27	1
236	270	27	2
237	270	27	2
238	270	27	3
240	270	27	1
242	270	27	1
243	270	27	1
250	270	27	2
177	271	27	1
178	271	27	1
182	271	27	2
207	271	27	1
209	271	27	3
210	271	27	1
216	271	27	4
217	271	27	1
222	271	27	1
226	271	27	2
228	271	27	1
230	271	27	2
231	271	27	2
232	271	27	1
233	271	27	2
234	271	27	1
236	271	27	1
238	271	27	1
239	271	27	1
240	271	27	1
242	271	27	1
243	271	27	1
249	271	27	1
250	271	27	1
176	272	27	1
179	272	27	2
203	272	27	1
205	272	27	1
206	272	27	1
207	272	27	1
215	272	27	2
217	272	27	1
220	272	27	1
222	272	27	2
225	272	27	1
230	272	27	1
231	272	27	4
235	272	27	1
241	272	27	1
249	272	27	1
183	273	27	1
207	273	27	1
210	273	27	2
211	273	27	1
212	273	27	1
214	273	27	3
220	273	27	1
224	273	27	1
227	273	27	2
231	273	27	1
234	273	27	1
238	273	27	1
239	273	27	1
240	273	27	2
241	273	27	2
247	273	27	3
248	273	27	1
251	273	27	1
178	274	27	1
182	274	27	3
203	274	27	1
204	274	27	1
206	274	27	5
208	274	27	1
209	274	27	3
212	274	27	1
214	274	27	3
221	274	27	2
224	274	27	1
226	274	27	1
228	274	27	1
229	274	27	2
230	274	27	1
231	274	27	1
235	274	27	1
236	274	27	1
237	274	27	3
238	274	27	1
240	274	27	1
241	274	27	1
243	274	27	3
250	274	27	1
252	274	27	1
184	275	27	1
185	275	27	3
205	275	27	1
208	275	27	2
213	275	27	4
214	275	27	1
216	275	27	1
224	275	27	1
228	275	27	1
230	275	27	1
232	275	27	1
237	275	27	1
238	275	27	2
244	275	27	1
245	275	27	1
249	275	27	3
205	276	27	2
206	276	27	1
208	276	27	1
209	276	27	1
211	276	27	2
212	276	27	1
214	276	27	2
220	276	27	1
227	276	27	1
232	276	27	3
233	276	27	2
234	276	27	1
238	276	27	1
240	276	27	1
244	276	27	4
245	276	27	1
252	276	27	3
204	277	27	2
210	277	27	1
211	277	27	1
212	277	27	1
215	277	27	1
220	277	27	2
224	277	27	1
227	277	27	1
232	277	27	2
235	277	27	2
236	277	27	1
237	277	27	1
238	277	27	2
239	277	27	1
244	277	27	2
245	277	27	1
249	277	27	1
252	277	27	1
203	278	27	1
204	278	27	3
206	278	27	3
208	278	27	1
211	278	27	1
214	278	27	1
219	278	27	1
224	278	27	1
227	278	27	1
229	278	27	1
230	278	27	1
232	278	27	2
239	278	27	1
240	278	27	1
244	278	27	1
246	278	27	1
248	278	27	1
249	278	27	1
201	279	27	2
210	279	27	2
219	279	27	1
230	279	27	1
231	279	27	1
232	279	27	1
234	279	27	1
235	279	27	1
237	279	27	3
238	279	27	1
239	279	27	2
241	279	27	2
242	279	27	2
248	279	27	2
250	279	27	1
251	279	27	1
252	279	27	1
257	279	27	2
204	280	27	1
206	280	27	2
207	280	27	1
208	280	27	2
210	280	27	1
214	280	27	1
232	280	27	2
233	280	27	1
234	280	27	1
235	280	27	1
236	280	27	1
239	280	27	1
242	280	27	1
243	280	27	2
245	280	27	1
248	280	27	1
249	280	27	1
251	280	27	1
252	280	27	1
256	280	27	2
207	281	27	1
214	281	27	2
215	281	27	1
229	281	27	2
230	281	27	4
231	281	27	1
234	281	27	2
235	281	27	1
237	281	27	1
238	281	27	1
240	281	27	2
245	281	27	1
246	281	27	2
249	281	27	2
252	281	27	3
256	281	27	1
205	282	27	1
206	282	27	2
209	282	27	2
210	282	27	2
212	282	27	2
213	282	27	1
214	282	27	1
215	282	27	2
229	282	27	4
236	282	27	2
238	282	27	1
239	282	27	1
242	282	27	2
243	282	27	2
244	282	27	1
245	282	27	2
246	282	27	3
247	282	27	1
252	282	27	4
254	282	27	2
201	283	27	1
206	283	27	2
207	283	27	2
215	283	27	1
216	283	27	1
221	283	27	1
227	283	27	1
228	283	27	2
231	283	27	1
232	283	27	1
234	283	27	1
238	283	27	1
240	283	27	1
241	283	27	2
242	283	27	2
243	283	27	3
244	283	27	1
245	283	27	1
247	283	27	1
248	283	27	2
249	283	27	2
251	283	27	4
256	283	27	1
206	284	27	1
208	284	27	4
209	284	27	2
212	284	27	1
213	284	27	1
235	284	27	1
236	284	27	1
238	284	27	2
240	284	27	1
241	284	27	1
243	284	27	1
250	284	27	1
251	284	27	2
253	284	27	2
255	284	27	1
256	284	27	1
257	284	27	4
206	285	27	1
208	285	27	1
210	285	27	1
211	285	27	1
212	285	27	2
213	285	27	1
219	285	27	3
224	285	27	2
228	285	27	1
233	285	27	1
235	285	27	1
236	285	27	1
239	285	27	3
240	285	27	1
241	285	27	1
242	285	27	1
246	285	27	1
249	285	27	3
253	285	27	2
255	285	27	3
206	286	27	2
212	286	27	3
214	286	27	1
216	286	27	1
220	286	27	1
224	286	27	1
226	286	27	1
232	286	27	1
233	286	27	1
235	286	27	2
236	286	27	1
237	286	27	1
239	286	27	1
241	286	27	1
244	286	27	2
245	286	27	1
246	286	27	2
248	286	27	1
249	286	27	1
251	286	27	1
252	286	27	1
255	286	27	2
256	286	27	5
258	286	27	2
210	287	27	1
214	287	27	1
221	287	27	2
222	287	27	1
227	287	27	1
231	287	27	2
232	287	27	2
233	287	27	1
234	287	27	1
237	287	27	1
239	287	27	1
240	287	27	1
241	287	27	1
246	287	27	2
247	287	27	1
249	287	27	1
250	287	27	1
255	287	27	1
256	287	27	1
223	288	27	1
224	288	27	1
225	288	27	1
228	288	27	1
231	288	27	2
232	288	27	1
233	288	27	1
234	288	27	3
236	288	27	1
241	288	27	1
243	288	27	2
245	288	27	1
246	288	27	3
247	288	27	2
251	288	27	1
252	288	27	1
255	288	27	1
210	289	27	1
219	289	27	2
222	289	27	2
223	289	27	1
224	289	27	1
225	289	27	3
226	289	27	1
228	289	27	1
232	289	27	1
233	289	27	1
234	289	27	3
236	289	27	1
238	289	27	2
239	289	27	1
241	289	27	2
242	289	27	2
243	289	27	1
246	289	27	1
249	289	27	1
252	289	27	4
256	289	27	1
214	290	27	1
219	290	27	1
222	290	27	2
224	290	27	2
225	290	27	2
226	290	27	1
227	290	27	1
228	290	27	1
230	290	27	1
231	290	27	1
233	290	27	1
239	290	27	3
240	290	27	2
241	290	27	1
243	290	27	2
247	290	27	2
249	290	27	1
250	290	27	1
251	290	27	1
210	291	27	1
211	291	27	1
213	291	27	1
221	291	27	2
222	291	27	1
225	291	27	1
227	291	27	2
228	291	27	1
229	291	27	2
230	291	27	1
233	291	27	1
234	291	27	1
235	291	27	1
236	291	27	2
237	291	27	1
238	291	27	2
241	291	27	1
243	291	27	1
248	291	27	3
249	291	27	1
251	291	27	3
252	291	27	1
257	291	27	2
211	292	27	1
213	292	27	2
218	292	27	1
220	292	27	3
221	292	27	1
225	292	27	1
227	292	27	1
228	292	27	1
230	292	27	1
241	292	27	1
246	292	27	2
249	292	27	2
250	292	27	1
251	292	27	1
253	292	27	1
254	292	27	1
217	293	27	3
219	293	27	1
220	293	27	1
222	293	27	1
223	293	27	1
224	293	27	3
226	293	27	1
229	293	27	1
234	293	27	1
240	293	27	1
243	293	27	1
245	293	27	1
247	293	27	2
250	293	27	2
253	293	27	1
254	293	27	2
256	293	27	2
211	294	27	1
224	294	27	1
235	294	27	1
237	294	27	1
246	294	27	1
248	294	27	1
249	294	27	2
250	294	27	2
251	294	27	1
253	294	27	1
254	294	27	1
219	295	27	1
221	295	27	1
222	295	27	2
223	295	27	2
239	295	27	2
241	295	27	1
243	295	27	1
244	295	27	1
247	295	27	1
248	295	27	1
249	295	27	1
250	295	27	1
251	295	27	2
252	295	27	1
211	296	27	1
220	296	27	1
236	296	27	1
237	296	27	2
239	296	27	1
244	296	27	1
245	296	27	1
247	296	27	2
249	296	27	1
252	296	27	2
217	297	27	2
221	297	27	2
236	297	27	1
237	297	27	3
238	297	27	2
240	297	27	1
244	297	27	2
245	297	27	2
249	297	27	2
253	297	27	2
221	298	27	2
226	298	27	1
236	298	27	1
237	298	27	2
238	298	27	1
241	298	27	1
243	298	27	2
244	298	27	1
245	298	27	1
247	298	27	2
248	298	27	1
223	299	27	1
226	299	27	3
237	299	27	1
239	299	27	2
240	299	27	1
246	299	27	1
247	299	27	1
249	299	27	2
226	300	27	1
228	300	27	1
231	300	27	1
236	300	27	1
238	300	27	1
239	300	27	1
240	300	27	2
242	300	27	3
244	300	27	1
247	300	27	1
224	301	27	3
227	301	27	1
234	301	27	1
235	301	27	1
236	301	27	2
237	301	27	3
239	301	27	1
240	301	27	3
241	301	27	1
250	301	27	2
251	301	27	1
226	302	27	1
234	302	27	1
235	302	27	1
236	302	27	1
238	302	27	1
244	302	27	2
245	302	27	1
237	304	27	1
238	304	27	2
243	304	27	1
244	304	27	1
235	305	27	1
230	262	28	1
232	264	28	1
234	265	28	2
232	266	28	1
234	266	28	2
235	266	28	1
231	267	28	1
236	267	28	1
235	268	28	1
238	268	28	2
236	269	28	2
238	269	28	3
235	270	28	1
237	270	28	3
250	270	28	1
237	271	28	3
240	271	28	1
206	272	28	1
232	272	28	1
233	272	28	1
250	272	28	1
235	273	28	3
214	274	28	1
234	274	28	1
235	274	28	1
235	275	28	3
249	275	28	1
233	276	28	1
234	276	28	1
237	276	28	1
238	276	28	1
235	277	28	2
236	277	28	1
237	277	28	1
238	277	28	1
210	279	28	1
235	280	28	1
239	280	28	3
251	280	28	3
210	281	28	1
235	281	28	1
252	281	28	3
234	282	28	1
235	282	28	1
237	283	28	2
238	283	28	2
246	283	28	2
254	283	28	2
235	284	28	2
246	284	28	1
248	284	28	1
250	284	28	1
238	285	28	1
239	285	28	2
240	285	28	1
242	285	28	1
245	285	28	1
247	286	28	3
248	286	28	1
249	286	28	2
240	287	28	1
244	287	28	1
245	287	28	1
238	288	28	1
242	288	28	1
244	288	28	1
245	288	28	3
245	289	28	1
246	289	28	1
247	289	28	1
253	289	28	1
240	290	28	1
244	290	28	1
226	291	28	1
240	291	28	3
241	291	28	1
222	292	28	1
239	292	28	2
241	292	28	1
242	292	28	2
245	292	28	3
248	292	28	1
250	292	28	2
240	293	28	2
241	294	28	1
242	294	28	2
249	294	28	1
250	294	28	1
251	294	28	1
240	295	28	1
241	295	28	1
242	295	28	1
245	295	28	1
248	295	28	2
240	296	28	1
239	297	28	3
245	297	28	2
240	298	28	1
240	299	28	2
229	255	29	1
234	256	29	1
182	257	29	1
230	257	29	4
235	257	29	2
181	258	29	1
190	258	29	1
228	258	29	1
235	258	29	1
237	258	29	2
182	259	29	4
188	259	29	2
230	259	29	2
238	259	29	1
181	260	29	1
187	261	29	1
199	261	29	1
226	261	29	1
227	261	29	1
229	261	29	1
231	261	29	1
221	262	29	2
229	262	29	1
222	263	29	1
234	263	29	2
248	263	29	2
178	264	29	1
216	264	29	1
226	264	29	1
229	264	29	1
230	264	29	1
231	264	29	1
237	264	29	2
248	264	29	2
215	265	29	3
226	265	29	1
232	265	29	2
233	265	29	1
234	265	29	2
249	265	29	3
197	266	29	3
229	266	29	2
234	266	29	3
245	266	29	4
250	266	29	1
192	267	29	2
193	267	29	1
194	267	29	3
196	267	29	1
197	267	29	2
199	267	29	1
232	267	29	1
235	267	29	1
236	267	29	2
237	267	29	2
194	268	29	2
201	268	29	2
217	268	29	2
231	268	29	2
234	268	29	1
235	268	29	1
238	268	29	1
239	268	29	2
250	268	29	2
180	269	29	2
196	269	29	1
232	269	29	1
240	269	29	1
248	269	29	1
175	270	29	2
196	270	29	2
215	270	29	2
227	270	29	1
230	270	29	1
232	270	29	2
234	270	29	1
235	270	29	2
237	270	29	1
250	270	29	1
182	271	29	2
214	271	29	3
229	271	29	1
233	271	29	1
234	271	29	2
235	271	29	3
237	271	29	1
238	271	29	2
240	271	29	1
251	271	29	1
213	272	29	1
214	272	29	1
215	272	29	1
224	272	29	1
232	272	29	2
234	272	29	1
238	272	29	1
241	272	29	1
245	272	29	1
249	272	29	3
251	272	29	2
182	273	29	2
225	273	29	1
236	273	29	1
249	273	29	1
180	274	29	2
206	274	29	1
213	274	29	1
214	274	29	1
233	274	29	1
238	274	29	2
240	274	29	1
250	274	29	1
184	275	29	1
215	275	29	1
231	275	29	1
232	275	29	1
236	275	29	1
238	275	29	1
239	275	29	3
240	275	29	3
241	275	29	1
242	275	29	1
205	276	29	1
206	276	29	2
208	276	29	1
228	276	29	2
233	276	29	2
234	276	29	1
236	276	29	1
238	276	29	1
240	276	29	2
241	276	29	1
248	276	29	1
249	276	29	2
250	276	29	1
232	277	29	1
234	277	29	1
237	277	29	1
239	277	29	1
240	277	29	1
247	277	29	1
250	277	29	1
208	278	29	1
239	278	29	1
247	278	29	1
206	279	29	1
234	279	29	2
236	279	29	1
245	279	29	1
247	279	29	1
248	279	29	1
252	279	29	1
205	280	29	1
234	280	29	3
235	280	29	1
237	280	29	1
241	280	29	1
247	280	29	2
249	280	29	1
250	280	29	1
251	280	29	1
256	280	29	2
233	281	29	3
234	281	29	3
235	281	29	2
237	281	29	1
245	281	29	1
246	281	29	1
247	281	29	1
248	281	29	1
250	281	29	2
206	282	29	1
212	282	29	1
213	282	29	1
233	282	29	2
241	282	29	2
242	282	29	1
244	282	29	1
246	282	29	2
248	282	29	2
249	282	29	1
251	282	29	1
254	282	29	1
209	283	29	1
215	283	29	2
231	283	29	1
232	283	29	1
233	283	29	3
234	283	29	1
236	283	29	3
237	283	29	2
239	283	29	1
244	283	29	1
245	283	29	2
246	283	29	1
248	283	29	1
251	283	29	1
220	284	29	2
234	284	29	1
235	284	29	5
237	284	29	1
238	284	29	1
240	284	29	2
241	284	29	1
246	284	29	1
250	284	29	1
252	284	29	1
255	284	29	1
256	284	29	1
219	285	29	1
226	285	29	1
227	285	29	1
236	285	29	1
241	285	29	1
243	285	29	1
247	285	29	2
253	285	29	1
211	286	29	1
232	286	29	2
233	286	29	1
236	286	29	2
241	286	29	2
242	286	29	2
249	286	29	2
252	286	29	1
225	287	29	1
226	287	29	1
231	287	29	2
234	287	29	2
236	287	29	2
238	287	29	4
240	287	29	2
241	287	29	2
245	287	29	2
246	287	29	1
247	287	29	2
249	287	29	1
224	288	29	4
225	288	29	1
228	288	29	1
233	288	29	4
240	288	29	1
241	288	29	1
242	288	29	2
244	288	29	1
245	288	29	1
225	289	29	1
228	289	29	1
235	289	29	1
236	289	29	1
237	289	29	2
246	289	29	2
247	289	29	3
250	289	29	1
254	289	29	2
222	290	29	2
224	290	29	1
225	290	29	1
226	290	29	3
237	290	29	1
240	290	29	1
242	290	29	1
245	290	29	2
247	290	29	1
224	291	29	1
225	291	29	1
238	291	29	1
240	291	29	2
241	291	29	1
245	291	29	1
247	291	29	2
251	291	29	1
222	292	29	2
225	292	29	1
236	292	29	1
238	292	29	1
239	292	29	2
242	292	29	2
243	292	29	1
248	292	29	1
249	292	29	2
250	292	29	1
257	292	29	2
223	293	29	2
224	293	29	1
225	293	29	2
247	293	29	4
248	293	29	3
252	293	29	1
224	294	29	1
238	294	29	1
241	294	29	2
242	294	29	1
244	294	29	2
248	294	29	2
249	294	29	1
221	295	29	1
223	295	29	1
240	295	29	1
244	295	29	1
247	295	29	1
219	296	29	1
222	296	29	1
223	296	29	1
246	296	29	1
249	296	29	3
253	296	29	1
227	297	29	1
238	297	29	1
240	297	29	3
242	297	29	1
245	297	29	2
246	297	29	1
247	297	29	2
248	297	29	1
215	298	29	1
219	298	29	2
224	298	29	1
226	298	29	3
238	298	29	2
247	298	29	1
248	298	29	1
221	299	29	1
222	299	29	1
227	299	29	1
237	299	29	1
239	299	29	1
252	299	29	2
227	300	29	2
236	300	29	4
237	300	29	1
239	300	29	1
240	300	29	1
223	301	29	3
224	301	29	1
225	301	29	2
238	301	29	1
235	302	29	1
250	302	29	1
236	305	29	1
229	250	30	1
225	251	30	1
233	252	30	1
228	253	30	1
231	253	30	1
237	253	30	3
215	254	30	1
230	254	30	1
232	254	30	2
235	254	30	2
236	254	30	2
191	255	30	1
215	255	30	3
227	255	30	3
229	255	30	1
232	255	30	1
234	255	30	2
237	255	30	2
204	256	30	1
229	256	30	1
232	256	30	1
190	257	30	1
209	257	30	3
227	257	30	1
228	257	30	2
229	257	30	2
236	257	30	2
237	257	30	1
239	257	30	3
240	257	30	1
176	258	30	2
181	258	30	1
228	258	30	1
231	258	30	1
233	258	30	2
236	258	30	2
175	259	30	3
189	259	30	1
195	259	30	1
206	259	30	1
210	259	30	1
214	259	30	1
218	259	30	2
219	259	30	1
224	259	30	1
226	259	30	1
227	259	30	1
230	259	30	1
232	259	30	1
234	259	30	1
238	259	30	2
241	259	30	1
184	260	30	1
186	260	30	1
196	260	30	2
197	260	30	1
206	260	30	1
217	260	30	1
219	260	30	1
223	260	30	2
227	260	30	1
228	260	30	2
232	260	30	1
235	260	30	1
237	260	30	1
238	260	30	2
240	260	30	1
245	260	30	1
188	261	30	2
194	261	30	1
198	261	30	2
212	261	30	2
218	261	30	1
226	261	30	2
227	261	30	4
232	261	30	2
238	261	30	1
239	261	30	1
241	261	30	1
249	261	30	1
188	262	30	1
206	262	30	2
209	262	30	1
216	262	30	1
220	262	30	3
225	262	30	1
226	262	30	1
230	262	30	1
233	262	30	1
240	262	30	1
246	262	30	1
247	262	30	1
248	262	30	1
249	262	30	2
185	263	30	1
186	263	30	1
193	263	30	4
197	263	30	1
211	263	30	1
216	263	30	2
219	263	30	2
222	263	30	1
226	263	30	1
227	263	30	1
230	263	30	1
233	263	30	1
240	263	30	2
246	263	30	1
247	263	30	1
248	263	30	1
178	264	30	1
194	264	30	1
195	264	30	2
211	264	30	3
226	264	30	1
231	264	30	3
232	264	30	1
238	264	30	1
239	264	30	1
246	264	30	1
193	265	30	2
196	265	30	2
197	265	30	1
200	265	30	2
212	265	30	2
214	265	30	1
216	265	30	1
219	265	30	1
224	265	30	1
230	265	30	2
231	265	30	1
232	265	30	1
234	265	30	1
235	265	30	2
238	265	30	3
242	265	30	1
246	265	30	1
248	265	30	2
188	266	30	3
189	266	30	1
194	266	30	1
195	266	30	1
211	266	30	1
214	266	30	1
219	266	30	1
228	266	30	3
229	266	30	1
232	266	30	1
233	266	30	1
238	266	30	1
240	266	30	1
249	266	30	2
182	267	30	1
193	267	30	1
194	267	30	2
202	267	30	1
208	267	30	1
209	267	30	1
236	267	30	1
239	267	30	1
240	267	30	1
244	267	30	1
245	267	30	2
247	267	30	1
249	267	30	2
188	268	30	1
191	268	30	2
194	268	30	1
207	268	30	1
213	268	30	3
214	268	30	1
216	268	30	1
223	268	30	1
226	268	30	1
228	268	30	1
230	268	30	1
240	268	30	1
241	268	30	1
243	268	30	1
244	268	30	3
246	268	30	1
248	268	30	1
249	268	30	1
182	269	30	1
194	269	30	1
197	269	30	1
204	269	30	2
211	269	30	1
216	269	30	1
232	269	30	1
236	269	30	1
238	269	30	2
239	269	30	1
240	269	30	1
244	269	30	4
247	269	30	1
249	269	30	1
250	269	30	2
184	270	30	1
187	270	30	1
194	270	30	3
195	270	30	2
196	270	30	1
197	270	30	2
198	270	30	1
200	270	30	2
201	270	30	2
207	270	30	1
214	270	30	1
215	270	30	1
217	270	30	1
223	270	30	1
231	270	30	1
235	270	30	1
244	270	30	1
245	270	30	1
249	270	30	1
250	270	30	1
