x	y	z	RUNX1 regulates transcription of genes involved in differentiation of HSCs
240	277	26	1
249	277	26	2
250	277	26	1
231	278	26	4
232	278	26	1
234	278	26	1
237	278	26	2
243	278	26	1
233	279	26	2
234	279	26	1
239	279	26	1
240	279	26	2
246	279	26	1
248	279	26	2
249	279	26	1
230	280	26	1
232	280	26	1
233	280	26	1
234	280	26	2
236	280	26	1
241	280	26	1
249	280	26	1
217	281	26	1
231	281	26	2
232	281	26	1
234	281	26	2
235	281	26	1
240	281	26	2
246	281	26	1
250	281	26	1
209	282	26	1
212	282	26	3
231	282	26	1
234	282	26	1
238	282	26	1
240	282	26	1
245	282	26	1
246	282	26	1
247	282	26	1
254	282	26	1
233	283	26	1
246	283	26	1
251	283	26	1
214	284	26	2
215	284	26	1
232	284	26	1
233	284	26	1
235	284	26	1
237	284	26	2
242	284	26	1
244	284	26	3
246	284	26	1
212	285	26	2
234	285	26	1
237	285	26	3
240	285	26	1
241	285	26	1
250	285	26	1
253	285	26	2
254	285	26	1
216	286	26	1
232	286	26	2
242	286	26	1
248	286	26	1
249	286	26	1
251	286	26	1
252	286	26	1
253	286	26	1
223	287	26	2
224	287	26	1
232	287	26	1
234	287	26	1
236	287	26	1
237	287	26	1
247	287	26	1
249	287	26	2
252	287	26	3
253	287	26	2
241	288	26	2
248	288	26	2
253	288	26	2
223	289	26	1
227	289	26	1
231	289	26	1
232	289	26	2
233	289	26	1
234	289	26	1
235	289	26	1
237	289	26	1
238	289	26	1
240	289	26	1
242	289	26	1
248	289	26	2
227	290	26	1
228	290	26	1
237	290	26	1
240	290	26	1
243	290	26	1
250	290	26	2
226	291	26	2
232	291	26	1
239	291	26	1
227	292	26	1
237	292	26	1
240	292	26	1
242	292	26	1
244	292	26	1
245	292	26	2
250	292	26	2
252	292	26	1
254	292	26	1
239	293	26	2
240	293	26	1
247	293	26	1
253	293	26	1
239	294	26	2
242	294	26	2
246	294	26	1
221	295	26	1
222	295	26	1
239	295	26	1
243	295	26	1
245	295	26	1
254	295	26	1
235	296	26	1
242	296	26	2
236	297	26	1
246	297	26	1
239	299	26	1
240	299	26	2
227	300	26	1
236	300	26	1
227	301	26	1
182	255	27	2
184	256	27	1
183	257	27	1
181	258	27	1
183	258	27	1
184	258	27	1
188	259	27	1
226	259	27	1
228	259	27	1
229	259	27	1
181	260	27	1
184	260	27	1
185	260	27	1
228	260	27	2
233	260	27	1
234	260	27	3
237	260	27	1
240	260	27	2
181	261	27	1
182	261	27	3
184	261	27	1
186	261	27	1
187	261	27	1
220	261	27	2
222	261	27	1
227	261	27	1
229	261	27	2
234	261	27	3
235	261	27	1
236	261	27	1
180	262	27	2
227	262	27	1
236	262	27	1
239	262	27	1
175	263	27	1
178	263	27	2
179	263	27	1
182	263	27	3
183	263	27	1
184	263	27	1
185	263	27	1
210	263	27	1
211	263	27	1
215	263	27	1
229	263	27	2
230	263	27	1
231	263	27	1
234	263	27	1
235	263	27	1
236	263	27	1
239	263	27	1
244	263	27	1
175	264	27	1
176	264	27	1
224	264	27	1
225	264	27	1
231	264	27	1
232	264	27	1
240	264	27	1
248	264	27	2
181	265	27	1
184	265	27	2
189	265	27	1
212	265	27	3
225	265	27	2
226	265	27	3
231	265	27	1
237	265	27	1
238	265	27	1
240	265	27	2
179	266	27	2
180	266	27	1
216	266	27	1
224	266	27	1
228	266	27	1
231	266	27	1
232	266	27	1
233	266	27	1
179	267	27	2
182	267	27	1
228	267	27	1
233	267	27	1
234	267	27	1
235	267	27	1
239	267	27	1
249	267	27	2
179	268	27	2
213	268	27	1
215	268	27	1
216	268	27	1
222	268	27	1
225	268	27	1
230	268	27	1
235	268	27	1
241	268	27	2
177	269	27	2
178	269	27	1
180	269	27	2
182	269	27	1
201	269	27	2
205	269	27	1
211	269	27	1
214	269	27	1
224	269	27	1
228	269	27	1
229	269	27	1
233	269	27	2
236	269	27	1
238	269	27	1
240	269	27	1
179	270	27	1
217	270	27	1
221	270	27	1
233	270	27	2
236	270	27	1
215	271	27	2
216	271	27	2
222	271	27	1
233	271	27	1
236	271	27	1
237	271	27	1
238	271	27	2
240	271	27	1
242	271	27	1
243	271	27	1
247	271	27	1
248	271	27	1
203	272	27	2
204	272	27	1
205	272	27	2
207	272	27	1
214	272	27	1
215	272	27	1
223	272	27	1
229	272	27	1
231	272	27	2
236	272	27	1
239	272	27	1
241	272	27	1
247	272	27	1
251	272	27	1
183	273	27	1
203	273	27	3
206	273	27	1
211	273	27	1
214	273	27	1
223	273	27	1
224	273	27	2
246	273	27	1
251	273	27	1
179	274	27	2
204	274	27	1
207	274	27	1
213	274	27	1
214	274	27	1
224	274	27	1
231	274	27	1
232	274	27	1
233	274	27	3
238	274	27	2
243	274	27	1
250	274	27	1
252	274	27	1
254	274	27	2
184	275	27	1
185	275	27	1
205	275	27	1
206	275	27	2
213	275	27	1
214	275	27	1
217	275	27	1
218	275	27	2
232	275	27	1
235	275	27	1
236	275	27	2
238	275	27	1
239	275	27	1
244	275	27	1
245	275	27	1
249	275	27	1
250	275	27	1
252	275	27	1
207	276	27	1
215	276	27	3
230	276	27	1
238	276	27	1
239	276	27	1
240	276	27	2
246	276	27	1
205	277	27	1
207	277	27	2
210	277	27	1
218	277	27	1
220	277	27	2
232	277	27	1
235	277	27	1
237	277	27	1
238	277	27	2
244	277	27	1
245	277	27	1
248	277	27	1
249	277	27	1
250	277	27	2
252	277	27	1
209	278	27	2
210	278	27	3
211	278	27	1
214	278	27	1
219	278	27	2
220	278	27	1
225	278	27	1
227	278	27	1
229	278	27	2
230	278	27	1
239	278	27	1
244	278	27	1
245	278	27	5
248	278	27	4
249	278	27	1
250	278	27	1
251	278	27	1
201	279	27	2
230	279	27	3
235	279	27	1
236	279	27	1
237	279	27	1
239	279	27	1
240	279	27	2
243	279	27	1
247	279	27	1
248	279	27	1
249	279	27	1
252	279	27	1
257	279	27	1
204	280	27	1
205	280	27	2
207	280	27	1
208	280	27	2
214	280	27	1
241	280	27	1
242	280	27	2
248	280	27	1
249	280	27	2
251	280	27	1
256	280	27	1
209	281	27	2
214	281	27	1
222	281	27	2
231	281	27	1
233	281	27	2
240	281	27	1
244	281	27	1
246	281	27	2
252	281	27	1
256	281	27	2
212	282	27	1
213	282	27	1
227	282	27	1
235	282	27	1
236	282	27	1
237	282	27	1
241	282	27	1
245	282	27	1
246	282	27	1
247	282	27	1
250	282	27	1
254	282	27	1
201	283	27	2
207	283	27	1
210	283	27	1
215	283	27	1
216	283	27	1
218	283	27	1
227	283	27	1
228	283	27	1
232	283	27	2
236	283	27	2
238	283	27	1
239	283	27	1
242	283	27	3
245	283	27	1
247	283	27	2
251	283	27	1
253	283	27	1
205	284	27	3
208	284	27	1
209	284	27	2
214	284	27	1
215	284	27	1
230	284	27	2
241	284	27	1
252	284	27	1
256	284	27	1
257	284	27	1
211	285	27	2
219	285	27	1
233	285	27	1
235	285	27	1
239	285	27	1
240	285	27	1
241	285	27	1
242	285	27	1
246	285	27	1
253	285	27	1
254	285	27	1
204	286	27	2
206	286	27	2
207	286	27	1
214	286	27	1
218	286	27	2
219	286	27	3
220	286	27	1
222	286	27	1
224	286	27	1
235	286	27	1
236	286	27	2
237	286	27	2
244	286	27	1
245	286	27	2
246	286	27	2
248	286	27	1
251	286	27	1
252	286	27	1
255	286	27	1
256	286	27	1
258	286	27	1
210	287	27	1
214	287	27	1
222	287	27	1
228	287	27	1
230	287	27	1
233	287	27	1
234	287	27	1
237	287	27	2
238	287	27	1
239	287	27	1
240	287	27	1
243	287	27	1
247	287	27	2
251	287	27	1
253	287	27	1
255	287	27	1
256	287	27	2
204	288	27	2
211	288	27	2
214	288	27	1
222	288	27	1
223	288	27	2
224	288	27	1
226	288	27	2
229	288	27	1
231	288	27	2
233	288	27	1
235	288	27	1
240	288	27	2
242	288	27	1
243	288	27	1
245	288	27	1
246	288	27	1
251	288	27	1
252	288	27	2
253	288	27	1
255	288	27	1
224	289	27	1
228	289	27	1
230	289	27	1
231	289	27	1
232	289	27	1
234	289	27	1
236	289	27	1
237	289	27	1
239	289	27	1
241	289	27	1
243	289	27	1
246	289	27	1
251	289	27	2
252	289	27	1
254	289	27	1
256	289	27	2
214	290	27	1
222	290	27	1
226	290	27	2
227	290	27	1
230	290	27	1
232	290	27	1
234	290	27	1
235	290	27	1
239	290	27	1
241	290	27	1
243	290	27	1
244	290	27	1
246	290	27	2
250	290	27	2
252	290	27	1
228	291	27	1
229	291	27	1
233	291	27	1
237	291	27	1
241	291	27	2
242	291	27	1
247	291	27	1
249	291	27	1
218	292	27	1
223	292	27	2
225	292	27	1
227	292	27	1
228	292	27	1
229	292	27	1
234	292	27	1
241	292	27	3
247	292	27	1
248	292	27	1
249	292	27	1
210	293	27	1
211	293	27	1
221	293	27	1
223	293	27	1
224	293	27	2
225	293	27	1
234	293	27	1
239	293	27	2
240	293	27	1
242	293	27	1
243	293	27	1
245	293	27	2
248	293	27	1
249	293	27	1
250	293	27	1
251	293	27	1
253	293	27	2
211	294	27	1
220	294	27	1
226	294	27	1
235	294	27	1
237	294	27	2
244	294	27	1
245	294	27	1
251	294	27	3
254	294	27	2
257	294	27	1
211	295	27	1
218	295	27	1
219	295	27	3
222	295	27	1
223	295	27	3
239	295	27	1
243	295	27	3
244	295	27	2
246	295	27	1
249	295	27	1
251	295	27	1
255	295	27	1
211	296	27	1
220	296	27	1
221	296	27	1
240	296	27	2
244	296	27	2
245	296	27	3
246	296	27	1
247	296	27	1
249	296	27	1
252	296	27	1
237	297	27	2
244	297	27	1
246	297	27	1
252	297	27	1
221	298	27	1
223	298	27	1
226	298	27	1
235	298	27	1
215	299	27	1
226	299	27	1
229	299	27	3
239	299	27	1
243	299	27	1
246	299	27	2
247	299	27	1
248	299	27	1
252	299	27	1
226	300	27	1
227	300	27	1
236	300	27	1
237	300	27	1
241	300	27	1
248	300	27	2
224	301	27	1
227	301	27	2
237	301	27	1
239	301	27	1
240	301	27	1
245	301	27	1
226	302	27	1
234	302	27	2
235	302	27	1
237	302	27	1
239	302	27	2
236	304	27	3
237	304	27	1
235	305	27	1
234	265	28	1
231	266	28	2
232	266	28	1
234	266	28	2
235	266	28	1
234	267	28	1
236	267	28	1
237	268	28	2
237	269	28	1
238	269	28	1
237	270	28	1
238	270	28	1
237	271	28	1
240	271	28	2
206	272	28	1
233	272	28	1
236	272	28	1
232	274	28	1
234	274	28	1
235	274	28	1
235	275	28	1
249	275	28	2
235	276	28	1
237	276	28	1
235	277	28	3
238	277	28	2
236	278	28	1
237	278	28	1
248	279	28	1
235	280	28	1
239	280	28	2
241	280	28	1
251	280	28	1
208	281	28	1
210	281	28	1
235	281	28	1
248	281	28	1
246	282	28	1
249	283	28	1
235	284	28	1
246	284	28	1
248	284	28	2
250	284	28	2
254	284	28	2
239	285	28	1
248	285	28	1
248	286	28	1
249	286	28	1
240	287	28	1
248	287	28	2
251	287	28	1
238	288	28	1
242	288	28	1
245	289	28	2
248	289	28	2
237	290	28	1
240	290	28	1
242	290	28	1
245	290	28	2
226	291	28	1
237	291	28	1
239	291	28	1
247	291	28	1
248	291	28	1
249	291	28	1
250	291	28	1
222	292	28	3
240	292	28	1
250	292	28	1
240	293	28	1
243	293	28	1
241	294	28	1
250	294	28	2
251	294	28	2
241	295	28	1
245	295	28	1
229	255	29	2
234	256	29	1
235	256	29	1
235	257	29	2
181	258	29	1
237	258	29	1
182	259	29	1
229	259	29	1
230	259	29	1
181	260	29	1
182	260	29	1
187	261	29	2
199	261	29	2
227	261	29	1
229	261	29	2
231	261	29	1
220	262	29	1
221	262	29	1
227	262	29	1
232	263	29	3
215	264	29	1
224	264	29	2
229	264	29	1
231	264	29	1
232	264	29	1
237	264	29	1
245	264	29	1
181	265	29	1
215	265	29	2
226	265	29	1
238	265	29	1
249	265	29	2
178	266	29	1
195	266	29	1
197	266	29	1
226	266	29	1
230	266	29	1
232	266	29	1
234	266	29	2
236	266	29	2
245	266	29	1
248	266	29	1
192	267	29	1
193	267	29	1
199	267	29	2
226	267	29	1
230	267	29	1
231	267	29	2
194	268	29	1
217	268	29	1
226	268	29	2
231	268	29	2
234	268	29	1
237	268	29	1
238	268	29	1
244	268	29	2
250	268	29	1
180	269	29	2
193	269	29	1
196	269	29	1
204	269	29	1
240	269	29	1
248	269	29	1
249	269	29	1
175	270	29	3
178	270	29	1
227	270	29	2
230	270	29	1
234	270	29	1
235	270	29	1
173	271	29	1
204	271	29	1
215	271	29	2
240	271	29	1
249	271	29	2
213	272	29	1
214	272	29	2
233	272	29	1
182	273	29	1
207	273	29	1
212	273	29	1
236	273	29	1
206	274	29	1
214	274	29	2
232	274	29	1
234	274	29	1
235	274	29	1
236	274	29	1
247	274	29	1
206	275	29	1
232	275	29	2
238	275	29	1
239	275	29	2
241	275	29	1
245	275	29	1
205	276	29	1
236	276	29	1
237	276	29	1
238	276	29	1
246	276	29	2
252	276	29	1
205	277	29	1
240	277	29	1
250	277	29	1
208	278	29	1
235	278	29	3
236	278	29	1
237	278	29	1
244	278	29	2
247	278	29	1
250	278	29	1
247	279	29	1
248	279	29	1
249	279	29	1
252	279	29	1
254	279	29	1
256	279	29	1
236	280	29	1
241	280	29	1
247	280	29	1
249	280	29	1
252	280	29	1
208	281	29	1
233	281	29	1
243	281	29	1
246	281	29	1
248	281	29	1
249	281	29	1
250	281	29	1
251	281	29	1
212	282	29	2
241	282	29	1
249	282	29	3
215	283	29	1
231	283	29	1
239	283	29	2
244	283	29	1
245	283	29	1
246	283	29	1
247	283	29	1
249	283	29	2
251	283	29	1
211	284	29	3
233	284	29	1
240	284	29	1
241	284	29	1
242	284	29	1
244	284	29	1
246	284	29	1
249	284	29	2
250	284	29	1
256	284	29	1
227	285	29	2
234	285	29	1
236	285	29	1
238	285	29	1
246	285	29	1
247	285	29	1
248	285	29	1
250	285	29	1
232	286	29	1
235	286	29	1
236	286	29	3
242	286	29	1
243	286	29	1
247	286	29	1
226	287	29	1
240	287	29	1
246	287	29	1
232	288	29	1
235	288	29	3
244	288	29	1
249	288	29	1
224	289	29	1
225	289	29	1
227	289	29	1
234	289	29	1
237	289	29	2
240	289	29	2
247	289	29	2
222	290	29	1
225	290	29	2
230	290	29	1
238	290	29	2
246	290	29	2
247	290	29	1
226	291	29	1
238	291	29	2
241	291	29	1
247	291	29	1
248	291	29	2
227	292	29	2
249	292	29	1
250	292	29	1
257	292	29	2
223	293	29	1
224	293	29	1
246	293	29	1
247	293	29	1
249	293	29	1
224	294	29	1
236	294	29	2
240	294	29	2
242	294	29	1
248	294	29	1
249	294	29	1
223	295	29	1
240	295	29	2
241	295	29	1
243	295	29	1
222	296	29	1
246	296	29	1
252	296	29	1
253	296	29	1
255	296	29	2
241	297	29	2
243	297	29	2
246	297	29	1
247	297	29	1
248	297	29	1
224	298	29	2
238	298	29	2
239	298	29	1
245	298	29	1
247	298	29	1
240	299	29	1
241	299	29	1
252	299	29	1
221	300	29	2
227	300	29	2
235	300	29	1
237	300	29	2
239	300	29	1
223	301	29	1
225	301	29	1
236	301	29	1
238	301	29	1
250	302	29	1
240	303	29	1
236	305	29	2
215	252	30	1
233	252	30	1
231	254	30	1
191	255	30	1
229	255	30	1
230	255	30	3
232	255	30	1
229	256	30	1
231	256	30	1
232	256	30	2
236	256	30	1
183	257	30	2
192	257	30	2
209	257	30	1
229	257	30	1
240	257	30	1
176	258	30	1
181	258	30	2
186	258	30	1
226	258	30	1
228	258	30	1
229	258	30	2
231	258	30	2
189	259	30	1
206	259	30	1
214	259	30	1
218	259	30	1
226	259	30	1
228	259	30	1
232	259	30	2
234	259	30	2
239	259	30	1
184	260	30	1
186	260	30	2
196	260	30	1
217	260	30	1
219	260	30	1
226	260	30	1
227	260	30	2
231	260	30	1
232	260	30	1
235	260	30	2
237	260	30	1
245	260	30	1
184	261	30	1
188	261	30	1
199	261	30	1
208	261	30	1
211	261	30	1
212	261	30	2
215	261	30	1
217	261	30	1
218	261	30	1
225	261	30	2
229	261	30	1
230	261	30	2
231	261	30	1
232	261	30	1
236	261	30	1
239	261	30	1
241	261	30	1
178	262	30	1
188	262	30	1
206	262	30	2
219	262	30	2
221	262	30	1
225	262	30	2
227	262	30	1
247	262	30	1
185	263	30	1
188	263	30	1
189	263	30	1
197	263	30	1
210	263	30	1
211	263	30	1
215	263	30	1
216	263	30	1
218	263	30	1
222	263	30	2
224	263	30	3
227	263	30	3
242	263	30	1
247	263	30	2
248	263	30	1
249	263	30	2
188	264	30	1
227	264	30	1
228	264	30	1
233	264	30	1
238	264	30	2
239	264	30	1
249	264	30	2
191	265	30	1
205	265	30	1
210	265	30	1
212	265	30	1
213	265	30	1
217	265	30	2
228	265	30	2
230	265	30	1
231	265	30	1
233	265	30	1
235	265	30	1
242	265	30	1
246	265	30	1
248	265	30	2
184	266	30	1
188	266	30	1
189	266	30	2
195	266	30	1
228	266	30	1
229	266	30	1
231	266	30	1
232	266	30	1
241	266	30	2
243	266	30	1
247	266	30	1
182	267	30	2
191	267	30	1
198	267	30	1
208	267	30	1
219	267	30	1
235	267	30	2
237	267	30	1
240	267	30	2
245	267	30	2
247	267	30	2
249	267	30	1
172	268	30	2
191	268	30	1
195	268	30	1
196	268	30	1
206	268	30	1
211	268	30	1
213	268	30	1
216	268	30	1
226	268	30	1
228	268	30	1
230	268	30	1
237	268	30	2
238	268	30	1
240	268	30	1
241	268	30	3
246	268	30	2
247	268	30	1
248	268	30	1
172	269	30	1
177	269	30	1
194	269	30	1
198	269	30	1
199	269	30	1
213	269	30	1
232	269	30	1
238	269	30	2
239	269	30	1
242	269	30	1
244	269	30	1
245	269	30	1
248	269	30	1
249	269	30	2
198	270	30	2
200	270	30	3
201	270	30	2
205	270	30	1
214	270	30	2
215	270	30	1
217	270	30	1
227	270	30	1
230	270	30	1
231	270	30	1
234	270	30	2
235	270	30	2
238	270	30	1
244	270	30	2
250	270	30	1
175	271	30	1
183	271	30	3
185	271	30	2
194	271	30	1
198	271	30	1
199	271	30	1
207	271	30	1
208	271	30	3
211	271	30	2
212	271	30	2
215	271	30	1
216	271	30	1
229	271	30	2
232	271	30	1
234	271	30	1
238	271	30	1
239	271	30	1
243	271	30	1
244	271	30	1
247	271	30	2
179	272	30	1
182	272	30	1
185	272	30	1
197	272	30	1
206	272	30	1
224	272	30	1
227	272	30	1
235	272	30	1
239	272	30	1
247	272	30	2
250	272	30	2
182	273	30	1
210	273	30	1
211	273	30	1
231	273	30	1
234	273	30	1
241	273	30	1
246	273	30	2
180	274	30	2
181	274	30	1
182	274	30	1
185	274	30	2
208	274	30	1
212	274	30	1
229	274	30	1
241	274	30	1
244	274	30	2
175	275	30	1
180	275	30	1
183	275	30	1
184	275	30	1
185	275	30	1
203	275	30	2
211	275	30	1
215	275	30	1
236	275	30	1
239	275	30	1
240	275	30	1
242	275	30	1
244	275	30	1
250	275	30	1
251	275	30	1
179	276	30	1
233	276	30	1
238	276	30	1
239	276	30	1
240	276	30	1
241	276	30	1
246	276	30	2
248	276	30	2
249	276	30	2
174	277	30	1
180	277	30	1
208	277	30	1
235	277	30	1
241	277	30	1
245	277	30	2
247	277	30	2
251	277	30	1
190	278	30	1
204	278	30	1
206	278	30	2
243	278	30	2
246	278	30	1
206	279	30	3
207	279	30	1
219	279	30	2
235	279	30	2
236	279	30	1
239	279	30	1
240	279	30	1
241	279	30	2
243	279	30	1
246	279	30	1
206	280	30	2
219	280	30	3
232	280	30	2
239	280	30	1
241	280	30	1
242	280	30	1
245	280	30	1
246	280	30	1
173	281	30	1
179	281	30	1
217	281	30	2
218	281	30	1
233	281	30	2
235	281	30	1
241	281	30	1
243	281	30	1
246	281	30	2
247	281	30	1
252	281	30	1
179	282	30	1
181	282	30	1
187	282	30	1
215	282	30	1
220	282	30	1
232	282	30	1
235	282	30	1
236	282	30	1
237	282	30	2
241	282	30	1
250	282	30	1
256	282	30	1
202	283	30	1
205	283	30	1
248	283	30	1
249	283	30	1
251	283	30	1
173	284	30	1
219	284	30	1
231	284	30	2
233	284	30	2
240	284	30	1
241.666666666667	284.666666666667	31	2
245	284	30	1
249	284	30	2
253	284	30	2
254	284	30	1
222.5	285.5	30.5	3
233	285	30	1
248	285	30	1
251	285	30	2
224	286	30	2
225	286	30	1
226	286	30	1
228	286	30	1
229	286	30	2
235	286	30	1
241	286	30	1
246	286	30	1
255	286	30	2
207	287	30	1
219	287	30	2
224	287	30	1
238.5	287.5	30.5	2
243	287	30	1
250	287	30	1
251	287	30	2
255	287	30	1
199	288	30	1
221	288	30	1
225	288	30	1
231	288	30	1
236	288	30	1
238	288	30	2
241	288	30	1
246	288	30	1
247	288	30	2
250	288	30	1
253	288	30	1
199	289	30	2
221	289	30	1
223	289	30	1
232	289	30	1
234	289	30	1
237	289	30	1
238	289	30	2
239	289	30	1
243	289	30	1
245	289	30	1
247	289	30	1
198	290	30	1
224	290	30	1
225	290	30	3
231	290	30	1
232	290	30	1
233	290	30	1
235	290	30	1
239	290	30	1
242	290	30	1
245	290	30	1
246	290	30	2
248	290	30	1
253	290	30	2
197	291	30	1
222	291	30	1
225	291	30	1
227	291	30	1
229	291	30	1
232	291	30	1
234	291	30	3
235	291	30	1
237	291	30	2
238	291	30	1
241	291	30	1
245	291	30	2
247	291	30	1
250	291	30	1
251	291	30	3
255	291	30	1
194	292	30	1
199	292	30	1
203	292	30	2
213	292	30	1
223	292	30	1
224	292	30	1
226	292	30	1
227	292	30	1
232	292	30	1
247	292	30	1
249	292	30	2
251	292	30	1
222	293	30	1
224	293	30	1
225	293	30	1
232	293	30	1
234	293	30	1
236	293	30	1
240	293	30	1
243	293	30	1
244	293	30	2
247	293	30	1
251	293	30	1
189	294	30	1
226	294	30	1
227	294	30	1
232	294	30	1
233	294	30	1
240	294	30	1
244	294	30	1
245	294	30	1
250	294	30	1
251	294	30	1
253	294	30	1
258	294	30	2
197	295	30	1
218	295	30	1
220	295	30	2
221	295	30	1
224	295	30	1
225	295	30	2
227	295	30	3
234	295	30	2
243	295	30	1
247	295	30	1
251	295	30	1
253	295	30	1
254	295	30	1
186	296	30	2
222	296	30	1
228	296	30	1
232	296	30	1
234	296	30	1
237	296	30	1
246	296	30	1
247	296	30	1
253	296	30	1
220	297	30	1
221	297	30	1
231	297	30	1
237	297	30	1
241	297	30	1
243	297	30	1
244	297	30	2
246	297	30	1
250	297	30	1
221	298	30	1
224	298	30	1
225	298	30	1
226	298	30	1
227	298	30	1
229	298	30	1
231	298	30	1
232	298	30	1
235	298	30	1
236	298	30	2
237	298	30	1
239	298	30	1
241	298	30	1
246	298	30	1
247	298	30	2
249	298	30	1
215	299	30	1
218	299	30	1
221	299	30	1
224	299	30	2
225	299	30	1
227	299	30	1
230	299	30	1
231	299	30	1
236	299	30	3
241	299	30	1
242	299	30	1
244	299	30	2
246	299	30	1
252	299	30	2
218	300	30	1
225	300	30	1
226	300	30	1
227	300	30	2
236	300	30	1
244	300	30	1
247	300	30	1
224	301	30	2
226	301	30	2
227	301	30	1
239	301	30	2
242	301	30	2
243	301	30	1
247	301	30	1
249	301	30	3
223	302	30	1
237	302	30	1
239	302	30	2
240	303	30	1
241	303	30	1
244	303	30	1
220	304	30	1
233	304	30	1
234	304	30	1
223	305	30	1
233	305	30	1
237	305	30	1
236	306	30	1
238	306	30	1
240	306	30	1
226	249	31	3
235	250	31	2
215	251	31	1
229	251	31	1
216	252	31	2
229	252	31	2
215	253	31	1
217	253	31	1
228	253	31	1
232	253	31	1
233	253	31	2
237	253	31	1
226	254	31	1
229	254	31	2
231	254	31	1
232	254	31	1
215	255	31	2
226	255	31	2
229	255	31	1
230	255	31	1
234	255	31	4
236	255	31	1
238	255	31	1
240	255	31	1
233	256	31	2
239	256	31	1
215	257	31	1
229	257	31	1
239	257	31	2
205	258	31	2
215	258	31	3
227	258	31	1
228	258	31	1
229	258	31	1
230	258	31	1
233	258	31	1
234	258	31	1
209	259	31	1
216	259	31	1
218	259	31	1
229	259	31	1
230	259	31	1
231	259	31	1
232	259	31	1
242	259	31	2
186	260	31	1
187	260	31	1
188	260	31	1
195	260	31	1
209	260	31	1
216	260	31	1
218	260	31	2
228	260	31	2
231	260	31	1
235	260	31	1
237	260	31	1
239	260	31	1
240	260	31	1
244	260	31	1
245	260	31	1
246	260	31	1
193	261	31	1
195	261	31	1
224	261	31	1
225	261	31	1
226	261	31	1
227	261	31	1
229	261	31	1
231	261	31	1
234	261	31	1
235	261	31	1
239	261	31	1
244	261	31	1
245	261	31	1
246	261	31	1
186	262	31	1
193	262	31	1
210	262	31	1
217	262	31	1
219	262	31	1
221	262	31	1
226	262	31	1
230	262	31	1
233	262	31	2
236	262	31	1
238	262	31	1
240	262	31	1
242	262	31	1
249	262	31	1
197	263	31	3
198	263	31	1
218	263	31	1
220	263	31	1
227	263	31	2
229	263	31	1
233	263	31	1
238	263	31	1
249	263	31	1
189	264	31	1
194	264	31	1
195	264	31	4
197	264	31	2
199	264	31	1
204	264	31	2
210	264	31	1
214	264	31	1
216	264	31	1
220	264	31	1
223	264	31	1
