x	y	z	TP53 Regulates Transcription of Death Receptors and Ligands
179	274	27	2
182	274	27	1
204	274	27	2
206	274	27	1
208	274	27	2
211	274	27	1
214	274	27	1
226	274	27	1
229	274	27	1
233	274	27	2
240	274	27	1
184	275	27	1
185	275	27	1
205	275	27	1
211	275	27	2
216	275	27	1
220	275	27	1
235	275	27	1
237	275	27	1
240	275	27	1
246	275	27	1
250	275	27	2
254	275	27	1
208	276	27	1
212	276	27	1
215	276	27	2
217	276	27	1
232	276	27	1
233	276	27	1
240	276	27	1
246	276	27	1
250	276	27	1
213	277	27	1
220	277	27	1
227	277	27	1
231	277	27	1
233	277	27	1
236	277	27	2
240	277	27	1
243	277	27	1
213	278	27	1
214	278	27	1
219	278	27	1
221	278	27	1
224	278	27	3
231	278	27	1
238	278	27	1
240	278	27	1
250	278	27	1
251	278	27	1
207	279	27	1
230	279	27	1
231	279	27	1
232	279	27	2
234	279	27	2
236	279	27	1
241	279	27	1
244	279	27	1
245	279	27	1
246	279	27	1
247	279	27	1
210	280	27	1
235	280	27	1
236	280	27	1
240	280	27	1
252	280	27	1
209	281	27	1
215	281	27	2
217	281	27	2
218	281	27	1
222	281	27	1
228	281	27	1
230	281	27	1
231	281	27	2
239	281	27	1
240	281	27	1
254	281	27	1
214	282	27	1
217	282	27	1
239	282	27	1
241	282	27	1
249	282	27	1
252	282	27	1
207	283	27	1
209	283	27	2
210	283	27	1
215	283	27	1
218	283	27	1
232	283	27	1
235	283	27	1
238	283	27	1
239	283	27	1
241	283	27	1
243	283	27	1
248	283	27	1
205	284	27	1
207	284	27	1
212	284	27	2
243	284	27	1
251	284	27	1
252	284	27	1
257	284	27	1
200	285	27	1
206	285	27	1
219	285	27	1
233	285	27	1
250	285	27	1
204	286	27	1
208	286	27	1
209	286	27	4
216	286	27	1
219	286	27	1
225	286	27	1
226	286	27	1
232	286	27	1
241	286	27	1
247	286	27	1
258	286	27	1
207	287	27	1
214	287	27	1
219	287	27	1
227	287	27	1
230	287	27	1
237	287	27	1
240	287	27	1
243	287	27	2
246	287	27	1
247	287	27	1
248	287	27	1
252	287	27	1
214	288	27	1
229	288	27	1
236	288	27	1
246	288	27	1
253	288	27	2
209	289	27	1
233	289	27	1
234	289	27	1
236	289	27	1
238	289	27	1
240	289	27	1
251	289	27	1
207	290	27	1
224	290	27	1
225	290	27	1
226	290	27	1
227	290	27	1
230	290	27	2
233	290	27	1
235	290	27	1
253	290	27	1
224	291	27	2
228	291	27	2
234	291	27	2
246	291	27	1
247	291	27	1
248	291	27	1
251	291	27	1
211	292	27	1
218	292	27	1
220	292	27	1
224	292	27	1
229	292	27	2
239	292	27	1
241	292	27	1
244	292	27	1
249	292	27	1
251	292	27	1
253	292	27	2
218	293	27	1
220	293	27	1
225	293	27	1
237	293	27	1
239	293	27	1
253	293	27	2
217	294	27	1
219	294	27	1
235	294	27	1
245	294	27	1
248	294	27	2
250	294	27	1
251	294	27	1
219	295	27	1
221	295	27	1
243	295	27	1
244	295	27	1
246	295	27	1
255	295	27	1
239	296	27	1
240	296	27	1
252	296	27	1
220	297	27	1
221	297	27	3
249	297	27	1
251	297	27	1
252	297	27	1
223	298	27	1
224	298	27	1
238	298	27	1
241	298	27	1
215	299	27	1
223	299	27	1
229	299	27	1
230	299	27	1
239	299	27	1
240	299	27	1
246	299	27	1
236	300	27	2
248	300	27	1
234	301	27	1
237	301	27	1
247	301	27	1
226	302	27	1
235	302	27	1
237	302	27	1
238	302	27	1
239	302	27	3
245	302	27	1
243	304	27	2
244	304	27	2
237	305	27	1
230	262	28	1
231	266	28	1
234	266	28	1
235	270	28	1
236	270	28	1
238	270	28	1
236	271	28	1
237	271	28	1
240	271	28	1
206	272	28	1
232	272	28	2
233	272	28	1
234	272	28	1
214	274	28	1
232	274	28	1
235	275	28	1
249	275	28	1
233	276	28	1
238	276	28	1
236	277	28	1
237	277	28	1
238	277	28	1
236	278	28	2
237	279	28	1
208	281	28	1
246	282	28	1
251	282	28	1
238	283	28	1
254	283	28	1
235	284	28	1
254	284	28	1
239	285	28	1
244	285	28	1
235	286	28	2
244	287	28	1
245	287	28	2
248	287	28	1
238	288	28	1
242	288	28	1
244	288	28	1
227	289	28	1
247	289	28	1
249	289	28	1
253	289	28	1
237	290	28	1
242	290	28	2
244	290	28	1
245	290	28	1
237	291	28	2
247	291	28	1
250	291	28	1
240	292	28	1
242	292	28	1
247	292	28	1
248	292	28	1
250	292	28	1
240	293	28	1
250	293	28	1
249	294	28	2
241	295	28	2
242	295	28	2
248	295	28	1
245	297	28	1
240	299	28	1
233	256	29	2
230	257	29	1
181	258	29	1
190	258	29	2
233	258	29	1
187	261	29	1
199	261	29	2
226	261	29	1
227	261	29	1
248	262	29	1
230	264	29	4
245	264	29	1
178	266	29	1
195	266	29	1
234	266	29	1
245	266	29	1
194	267	29	1
196	267	29	1
197	267	29	1
226	267	29	1
194	268	29	1
201	268	29	1
231	268	29	1
234	268	29	1
236	268	29	1
237	268	29	2
239	268	29	1
244	268	29	1
193	269	29	1
232	269	29	1
235	269	29	2
175	270	29	2
178	270	29	1
234	270	29	2
237	270	29	2
182	271	29	2
203	271	29	2
229	271	29	1
214	272	29	1
215	272	29	1
224	272	29	1
239	272	29	1
249	272	29	1
251	272	29	1
225	273	29	1
249	273	29	1
233	274	29	2
234	274	29	1
235	274	29	2
238	274	29	2
206	275	29	1
235	275	29	1
239	275	29	1
241	275	29	1
208	276	29	1
232	276	29	1
234	276	29	1
237	276	29	1
241	276	29	1
250	277	29	1
237	278	29	1
238	278	29	1
245	278	29	1
250	278	29	1
236	279	29	1
236	280	29	1
238	280	29	1
241	280	29	1
252	280	29	1
254	280	29	3
237	281	29	1
245	281	29	2
206	282	29	1
212	282	29	1
242	282	29	2
246	282	29	1
215	283	29	1
231	283	29	1
237	283	29	1
247	283	29	2
220	284	29	1
222	284	29	1
234	284	29	1
235	284	29	2
238	284	29	1
242	284	29	2
245	284	29	1
249	284	29	1
236	285	29	1
238	285	29	1
239	285	29	1
241	285	29	1
253	285	29	1
254	285	29	1
211	286	29	1
232	286	29	2
234	286	29	1
243	286	29	1
234	287	29	2
245	287	29	3
247	287	29	1
249	287	29	1
225	288	29	1
228	288	29	1
233	288	29	1
234	288	29	1
242	288	29	1
243	288	29	1
249	288	29	1
228	289	29	1
234	289	29	2
237	289	29	1
250	289	29	1
230	290	29	1
247	290	29	1
224	291	29	1
240	291	29	2
241	291	29	1
250	291	29	2
222	292	29	1
237	292	29	1
245	292	29	1
225	293	29	1
246	293	29	1
221	294	29	1
238	294	29	1
246	294	29	1
249	294	29	1
221	295	29	1
223	295	29	1
240	295	29	1
245	295	29	1
247	295	29	1
249	296	29	1
252	296	29	2
253	296	29	1
238	297	29	1
241	297	29	2
242	297	29	1
219	298	29	1
221	298	29	1
239	298	29	1
242	298	29	1
247	298	29	1
249	298	29	1
239	299	29	1
221	300	29	1
226	300	29	1
227	300	29	1
236	300	29	1
237	300	29	1
247	300	29	3
224	301	29	1
225	301	29	1
236	301	29	1
240	303	29	1
237	304	29	1
229	250	30	1
228	251	30	1
233	252	30	2
232	253	30	1
237	253	30	1
215	254	30	1
233	254	30	1
236	254	30	1
227	255	30	1
229	255	30	1
204	256	30	1
229	256	30	1
230	256	30	2
233	256	30	1
236	256	30	1
209	257	30	1
228	257	30	1
237	257	30	1
175	258	30	1
233	258	30	1
175	259	30	1
209	259	30	1
216	259	30	1
218	259	30	2
222	259	30	1
241	259	30	1
196	260	30	1
223	260	30	1
225	260	30	1
228	260	30	1
232	260	30	1
236	260	30	2
237	260	30	2
238	260	30	1
240	260	30	1
199	261	30	1
208	261	30	1
211	261	30	1
224	261	30	1
239	261	30	1
246	261	30	1
178	262	30	1
193	262	30	1
206	262	30	2
223	262	30	1
226	262	30	2
231	262	30	1
246	262	30	1
247	262	30	1
248	262	30	1
251	262	30	1
193	263	30	1
210	263	30	2
211	263	30	1
232	263	30	2
247	263	30	1
178	264	30	1
188	264	30	1
222	264	30	1
230	264	30	1
231	264	30	1
236	264	30	1
239	264	30	1
241	264	30	1
249	264	30	1
183	265	30	1
191	265	30	2
197	265	30	1
205	265	30	1
208	265	30	1
214	265	30	1
224	265	30	1
236	265	30	1
244	265	30	1
189	266	30	1
194	266	30	1
195	266	30	1
211	266	30	1
212	266	30	1
214	266	30	1
219	266	30	1
226	266	30	1
229	266	30	1
241	266	30	1
219	267	30	1
229	267	30	2
231	267	30	1
236	267	30	1
238	267	30	1
239	267	30	1
240	267	30	1
241	267	30	1
189	268	30	1
194	268	30	1
214	268	30	1
235	268	30	1
239	268	30	1
247	268	30	1
172	269	30	1
177	269	30	1
211	269	30	1
213	269	30	1
214	269	30	1
215	269	30	1
219	269	30	1
242	269	30	1
248	269	30	1
252	269	30	2
178	270	30	1
194	270	30	1
205	270	30	1
216	270	30	2
223	270	30	1
231	270	30	2
235	270	30	2
249	270	30	1
250	270	30	1
181	271	30	1
198	271	30	1
201	271	30	1
207	271	30	1
232	271	30	1
244	271	30	1
249	271	30	1
179	272	30	1
180	272	30	1
223	272	30	1
224	272	30	1
240	272	30	1
244	272	30	1
245	272	30	1
181	273	30	1
210	273	30	1
213	273	30	1
214	273	30	1
235	273	30	1
239	273	30	1
240	273	30	1
211	274	30	1
229	274	30	1
233	274	30	1
175	275	30	1
183	275	30	1
213	275	30	1
235	275	30	1
249	275	30	1
207	276	30	1
233	276	30	1
238	276	30	1
243	276	30	1
243	277	30	2
245	277	30	1
247	277	30	2
203	278	30	1
204	278	30	1
208	278	30	1
230	278	30	1
236	278	30	1
247	278	30	1
248	278	30	2
249	278	30	2
235	279	30	1
237	279	30	1
241	279	30	1
245	279	30	1
250	279	30	1
175	280	30	1
178	280	30	1
183	280	30	1
219	280	30	1
232	280	30	2
233	280	30	1
235	280	30	1
238	280	30	1
239	280	30	1
249	280	30	1
181	281	30	1
224	281	30	1
233	281	30	2
235	281	30	1
237	281	30	1
239	281	30	1
241	281	30	1
243	281	30	1
244	281	30	2
245	281	30	2
247	281	30	1
174	282	30	1
215	282	30	1
221	282	30	1
222	282	30	1
229	282	30	1
239	282	30	1
244	282	30	1
215	283	30	1
219	283	30	2
249	283	30	1
254	283	30	1
177	284	30	1
180	284	30	1
181	284	30	1
226	284	30	2
238	284	30	2
240	284	30	1
243	284	30	2
249	284	30	1
250	284	30	2
251	284	30	2
254	284	30	1
206	285	30	1
223	285	30	1
224	285	30	1
227	285	30	1
233	285	30	1
234	285	30	1
245	285.666666666667	31	1
248	285	30	1
219	286	30	1
224	286	30	1
227	286	30	1
230	286	30	1
236	286	30	2
241	286	30	1
257	286	30	1
222	287	30	2
241	287	30	1
243	287	30	1
228	288	30	1
232	288	30	1
239	288	30	1
244	288	30	1
247	288	30	1
199	289	30	1
228	289	30	2
230	289	30	1
240	289	30	1
246	289	30	1
252	289	30	1
222	290	30	2
233	290	30	1
235	290	30	1
240	290	30	2
242	290	30	1
246	290	30	1
250	290	30	1
227	291	30	1
238	291	30	1
241	291	30	1
245	291	30	1
246	291	30	1
249	291	30	1
250	291	30	1
203	292	30	1
213	292	30	1
230	292	30	1
238	292	30	1
245	292	30	1
201	293	30	1
219	293	30	1
223	293	30	1
231	293	30	1
234	293	30	1
240	293	30	1
249	293	30	1
250	293	30	1
251	293	30	1
226	294	30	1
233	294	30	1
238	294	30	1
244	294	30	1
246	294	30	1
249	294	30	2
253	294	30	1
227	295	30	2
254	295	30	1
186	296	30	2
220	296	30	3
222	296	30	1
234	296	30	1
235	296	30	1
241	296	30	1
242	296	30	2
226	297	30	2
229	297	30	2
237	297	30	1
245	297	30	1
246	297	30	1
220	298	30	2
226	298	30	2
236	298	30	1
247	298	30	1
249	298	30	2
252	298	30	1
216	299	30	2
225	299	30	1
231	299	30	1
250	299	30	1
226	300	30	1
227	300	30	1
244	300	30	1
247	300	30	1
223	301	30	1
225	301	30	1
238	301	30	1
242	301	30	1
246	301	30	1
223	302	30	1
231	302	30	2
223	303	30	1
244	303	30	1
246	303	30	2
236	304	30	1
237	304	30	1
238	304	30	1
235	251	31	1
225	252	31	1
193	253	31	1
229	254	31	1
231	254	31	1
238	254	31	1
195	255	31	2
215	255	31	2
230	255	31	1
236	255	31	1
207	256	31	1
215	256	31	2
218	257	31	2
239	257	31	1
215	258	31	2
228	258	31	1
230	258	31	1
188	259	31	1
216	259	31	1
218	259	31	1
229	259	31	1
230	259	31	1
235	259	31	2
242	259	31	2
224	260	31	2
227	260	31	1
228	260	31	1
235	260	31	2
240	260	31	1
244	260	31	1
245	260	31	1
181	261	31	1
188	261	31	2
193	261	31	2
213	261	31	1
216	261	31	4
225	261	31	1
226	261	31	1
227	261	31	1
228	261	31	1
237	261	31	2
246	261	31	1
211	262	31	1
217	262	31	1
219	262	31	1
221	262	31	2
222	262	31	1
225	262	31	1
227	262	31	1
229	262	31	2
230	262	31	2
242	262	31	3
189	263	31	1
193	263	31	1
197	263	31	1
200	263	31	1
216	263	31	1
217	263	31	1
218	263	31	2
219	263	31	1
220	263	31	1
226	263	31	2
227	263	31	1
230	263	31	1
236	263	31	1
248	263	31	1
249	263	31	1
178	264	31	1
184	264	31	1
187	264	31	1
188	264	31	1
197	264	31	3
204	264	31	2
209	264	31	1
210	264	31	1
214	264	31	1
217	264	31	1
218	264	31	1
226	264	31	1
231	264	31	1
239	264	31	2
245	264	31	1
246	264	31	1
248	264	31	1
184	265	31	1
185	265	31	1
194	265	31	1
200	265	31	1
216	265	31	1
222	265	31	2
226	265	31	1
229	265	31	1
231	265	31	1
234	265	31	1
238	265	31	1
239	265	31	1
240	265	31	1
243	265	31	1
245	265	31	1
250	265	31	1
191	266	31	1
197	266	31	2
198	266	31	1
241	266	31	1
248	266	31	1
251	266	31	1
177	267	31	1
183	267	31	1
192	267	31	1
195	267	31	2
196	267	31	1
216	267	31	1
219	267	31	1
227	267	31	1
228	267	31	1
238	267	31	1
248	267	31	1
183	268	31	1
184	268	31	1
188	268	31	1
213	268	31	2
218	268	31	1
222	268	31	1
184	269	31	1
191	269	31	1
198	269	31	1
201	269	31	2
204	269	31	1
206	269	31	1
214	269	31	1
231	269	31	1
235	269	31	1
238	269	31	1
246	269	31	1
247	269	31	1
249	269	31	1
250	269	31	2
186	270	31	1
201	270	31	1
231	270	31	1
239	270	31	2
244	270	31	1
248	270	31	2
174	271	31	1
176	271	31	2
178	271	31	1
184	271	31	2
199	271	31	1
200	271	31	1
216	271	31	1
183	272	31	1
184	272	31	1
199	272	31	1
203	272	31	2
206	272	31	1
211	272	31	1
213	272	31	2
225	272	31	1
227	272	31	1
230	272	31	1
232	272	31	1
241	272	31	1
243	272	31	2
181	273	31	1
212	273	31	1
232	273	31	1
234	273	31	1
237	273	31	1
238	273	31	1
250	273	31	1
179	274	31	1
180	274	31	2
182	274	31	1
209	274	31	1
210	274	31	1
226	274	31	1
229	274	31	1
232	274	31	1
233	274	31	1
237	274	31	1
239	274	31	1
244	274	31	1
248	274	31	1
250	274	31	1
231	275	31	1
243	275	31	2
250	275	31	1
198	276	31	1
233	276	31	1
239	276	31	1
244	276	31	1
253	276	31	1
234	277	31	1
238	277	31	1
245	277	31	1
174	278	31	1
204	278	31	1
205	278	31	1
208	278	31	3
224	278	31	1
236	278	31	1
205	279	31	1
206	279	31	1
219	279	31	1
234	279	31	1
242	279	31	1
249	279	31	1
253	279	31	1
254	279	31	1
220	280	31	1
241	280	31	1
246	280	31	1
247	280	31	1
176	281	31	1
206	281	31	1
210	281	31	1
219	281	31	1
222	281	31	1
223	281	31	1
239	281	31	1
244	281	31	1
206	282	31	1
219	282	31	1
232	282	31	1
233	282	31	2
234	282	31	1
238	282	31	1
241	282	31	1
247	282	31	2
248	282	31	1
252	282	31	1
228	283	31	1
231	283	31	1
232	283	31	1
233	283	31	1
234	283	31	1
239	283	31	1
241	283	31	1
251	283	31	1
252	283	31	1
176	284	31	2
179	284	31	1
181	284	31	1
209	284	31	1
231	284	31	1
236	284	31	1
238	284	31	1
248	284	31	1
250	284	31	1
254	284	31	1
223	285	31	1
231	285	31	1
233	285	31	1
251	285	31	2
252	285	31	1
178	286	31	1
218	286	31	1
222	286	31	1
224	286	31	1
227	286	31	1
246	286	31	2
220	287	31	1
221	287	31	1
226	287	31	1
227	287	31	1
237	287	31	1
240	287	31	1
246	287	31	1
253	287	31	1
186	288	31	4
220	288	31	1
225	288	31	2
240.5	288.5	31.5	2
241	288	31	2
242	288	31	2
244	288	31	1
245	288	31	1
246	288	31	1
249	288	31	1
253	288	31	1
200	289	31	1
228	289	31	1
232	289	31	1
245	289	31	1
247	289	31	1
200	290	31	1
232	290	31	1
235	290	31	1
243	290	31	1
246	290	31	2
250	290	31	1
197	291	31	1
199	291	31	1
222	291	31	1
231	291	31	2
235	291	31	1
237	291	31	1
238	291	31	1
240	291	31	1
241	291	31	2
249	291	31	2
232	292	31	1
236	292	31	1
246	292	31	1
251	292	31	1
221	293	31	1
222	293	31	1
231	293	31	1
233	293	31	2
234	293	31	1
235	293	31	1
237	293	31	1
238	293	31	1
239	293	31	1
251	293	31	1
253	293	31	1
198	294	31	1
220	294	31	1
222	294	31	1
225	294	31	3
233	294	31	2
237	294	31	1
240	294	31	1
246	294	31	1
250	294	31	1
252	294	31	2
222	295	31	2
231	295	31	1
233	295	31	1
234	295	31	1
242	295	31	1
247	295	31	1
257	295	31	1
188	296	31	1
223	296	31	2
240	296	31	1
252	296	31	1
253	296	31	1
225	297	31	1
246	297	31	1
255	297	31	1
235	298	31	1
237	298	31	1
238	298	31	1
221	299	31	2
224	299	31	1
237	299	31	1
245	299	31	1
218	300	31	1
226	300	31	1
228	300	31	1
229	300	31	1
231	300	31	1
235	300	31	1
238	300	31	1
241	300	31	1
248	300	31	2
249	300	31	2
227	301	31	2
228	301	31	1
230	301	31	1
232	301	31	2
242	301	31	2
248	301	31	1
223	302	31	1
224	302	31	2
226	302	31	1
234	303	31	1
246	303	31	1
247	303	31	1
224	305	31	2
225	305	31	1
238	305	31	2
223	306	31	1
233	306	31	1
224	307	31	1
234	307	31	2
226	309	31	1
226	250	32	1
231	250	32	1
228	251	32	1
229	251	32	1
214	252	32	1
193	253	32	1
214	253	32	1
218	253	32	1
226	254	32	1
228	254	32	1
230	254	32	1
232	254	32	1
239	254	32	1
216	255	32	2
224	255	32	1
230	255	32	1
234	255	32	1
227	256	32	1
237	256	32	3
242	256	32	1
195	257	32	1
203	257	32	1
209	257	32	1
240	257	32	1
216	258	32	2
220	258	32	1
230	258	32	1
232	258	32	1
241	258	32	1
191	259	32	1
193	259	32	1
211	259	32	1
227	259	32	1
234	259	32	1
243	259	32	1
235	260	32	2
238	260	32	1
239	260	32	1
242	260	32	2
243	260	32	1
186	261	32	1
195	261	32	1
210	261	32	1
211	261	32	1
218	261	32	1
220	261	32	1
225	261	32	2
226	261	32	1
231	261	32	1
237	261	32	1
242	261	32	1
246	261	32	1
189	262	32	1
203	262	32	1
207	262	32	2
210	262	32	1
216	262	32	1
219	262	32	1
225	262	32	1
231	262	32	1
235	262	32	1
240	262	32	1
193	263	32	1
211	263	32	2
216	263	32	1
222	263	32	1
233	263	32	1
241	263	32	2
249	263	32	1
193	264	32	1
202	264	32	1
212	264	32	1
215	264	32	1
216	264	32	1
217	264	32	1
221	264	32	2
222	264	32	1
238	264	32	1
246	264	32	1
247	264	32	1
250	264	32	1
184	265	32	1
185	265	32	1
187	265	32	1
198	265	32	1
206	265	32	1
213	265	32	1
215	265	32	1
217	265	32	1
218	265	32	2
220	265	32	1
224	265	32	1
178	266	32	1
184	266	32	1
188	266	32	1
195	266	32	1
218	266	32	1
221	266	32	1
228	266	32	1
229	266	32	1
232	266	32	1
234	266	32	1
235	266	32	1
237	266	32	1
252	266	32	1
182	267	32	1
192	267	32	1
194	267	32	1
196	267	32	1
197	267	32	1
205	267	32	1
214	267	32	1
221	267	32	1
238	267	32	1
248	267	32	1
252	267	32	1
183	268	32	1
189	268	32	1
211	268	32	2
213	268	32	1
219	268	32	1
220	268	32	1
228	268	32	1
231	268	32	1
233	268	32	1
238	268	32	1
245	268	32	1
252	268	32	1
175	269	32	2
176	269	32	1
182	269	32	1
196	269	32	1
209	269	32	2
243	269	32	1
245	269	32	1
180	270	32	1
181	270	32	1
195	270	32	1
196	270	32	1
206	270	32	1
207	270	32	1
211	270	32	1
212	270	32	1
233	270	32	1
234	270	32	1
239	270	32	1
243	270	32	1
244	270	32	1
247	270	32	1
196	271	32	1
206	271	32	1
207	271	32	1
208	271	32	1
209	271	32	1
210	271	32	1
211	271	32	1
215	271	32	1
228	271	32	1
234	271	32	1
240	271	32	1
243	271	32	1
246	271	32	1
247	271	32	1
175	272	32	1
200	272	32	1
201	272	32	1
202	272	32	1
203	272	32	1
210	272	32	2
211	272	32	1
216	272	32	1
226	272	32	1
228	272	32	2
230	272	32	1
239	272	32	2
240	272	32	1
243	272	32	2
244	272	32	1
205	273	32	1
207	273	32	1
210	273	32	1
214	273	32	1
229	273	32	1
234	273	32	1
240	273	32	2
204	274	32	1
206	274	32	1
211	274	32	1
213	274	32	1
215	274	32	1
233	274	32	1
234	274	32	2
237	274	32	2
244	274	32	1
252	274	32	1
215	275	32	1
226	275	32	1
238	275	32	1
174	276	32	1
235	276	32	3
236	276	32	2
239	276	32	2
243	276	32	1
174	277	32	1
224	277	32	1
244	277	32	2
245	277	32	1
247	277	32	1
204	278	32	1
206	278	32	1
239	278	32	1
244	278	32	1
246	278	32	1
175	279	32	1
179	279	32	2
205	279	32	2
214	279	32	2
220	279	32	1
223	279	32	1
236	279	32	1
239	279	32	1
241	279	32	1
242	279	32	1
245	279	32	1
247	279	32	1
177	280	32	1
189	280	32	1
217	280	32	1
229	280	32	1
237	280	32	2
239	280	32	1
240	280	32	1
211	281	32	2
217	281	32	1
226	281	32	1
233	281	32	2
240	281	32	1
241	281	32	1
244	281	32	2
245	281	32	1
246	281	32	1
252	281	32	1
254	281	32	2
173	282	32	1
187	282	32	1
220	282	32	1
223	282	32	1
237	282	32	1
240	282	32	1
244	282	32	2
250	282	32	2
253	282	32	1
178	283	32	1
183	283	32	2
208	283	32	1
221	283	32	1
222	283	32	1
237	283	32	1
238	283	32	1
241	283	32	1
246	283	32	1
253	283	32	1
179	284	32	1
181	284	32	3
206	284	32	1
220	284	32	1
221	284	32	1
222	284	32	1
225	284	32	1
227	284	32	1
232	284	32	2
234	284	32	1
244	284	32	1
251	284	32	1
252	284	32	1
177	285	32	1
204	285	32	1
205	285	32	1
220	285	32	1
229	285	32	1
231	285	32	1
232	285	32	1
234	285	32	1
245	285	32	1
253	285	32	1
175	286	32	2
177	286	32	1
180	286	32	1
221	286	32	1
226	286	32	1
229	286	32	1
242	286	32	1
248	286	32	1
250	286	32	1
176	287	32	2
177	287	32	1
208	287	32	1
221	287	32	1
230	287	32	1
231	287	32	1
234	287	32	1
240	287	32	1
243	287	32	1
249	287	32	1
250	287	32	1
223	288	32	1
226	288	32	1
227	288	32	1
231	288	32	1
236	288	32	1
237	288	32	1
243	288	32	1
250	288	32	1
253	288	32	1
258	288	32	2
200	289	32	1
224	289	32	1
234	289	32	2
