x	y	z	Transcriptional Regulation by MECP2
239	297	25	3
243	297	25	1
240	298	25	1
241	299	25	1
243	299	25	1
227	300	25	1
238	300	25	1
239	300	25	2
239	302	25	3
183	258	26	1
176	259	26	1
229	262	26	1
232	263	26	1
229	264	26	1
230	264	26	2
231	264	26	2
215	265	26	4
232	265	26	2
237	266	26	2
230	267	26	2
235	267	26	2
241	267	26	2
233	268	26	3
235	268	26	1
241	268	26	1
228	269	26	2
236	269	26	1
227	270	26	2
228	270	26	2
234	270	26	1
235	270	26	1
236	270	26	1
237	270	26	1
238	270	26	1
240	270	26	4
229	271	26	1
235	271	26	2
236	271	26	2
240	271	26	2
215	272	26	1
217	272	26	2
224	272	26	1
232	272	26	1
234	272	26	4
239	272	26	1
231	273	26	1
239	273	26	1
248	273	26	1
231	274	26	1
233	274	26	2
236	274	26	1
238	274	26	1
232	275	26	1
233	275	26	1
236	275	26	1
237	275	26	2
239	275	26	2
245	275	26	2
246	275	26	1
248	275	26	1
249	275	26	2
207	276	26	3
215	276	26	1
231	276	26	1
232	276	26	1
234	276	26	1
237	276	26	2
238	276	26	2
239	276	26	2
244	276	26	3
248	276	26	1
210	277	26	1
231	277	26	1
232	277	26	5
234	277	26	1
236	277	26	4
237	277	26	1
239	277	26	1
232	278	26	1
236	278	26	1
237	278	26	1
239	278	26	1
240	278	26	1
243	278	26	1
251	278	26	1
231	279	26	1
236	279	26	2
237	279	26	1
239	279	26	2
246	279	26	1
250	279	26	1
208	280	26	4
230	280	26	4
232	280	26	2
233	280	26	1
234	280	26	4
236	280	26	1
238	280	26	1
240	280	26	1
241	280	26	2
248	280	26	1
249	280	26	1
250	280	26	1
231	281	26	1
236	281	26	2
237	281	26	1
240	281	26	3
246	281	26	2
247	281	26	2
248	281	26	3
208	282	26	2
209	282	26	1
215	282	26	2
229	282	26	1
231	282	26	1
233	282	26	1
234	282	26	1
237	282	26	2
238	282	26	2
240	282	26	1
242	282	26	1
245	282	26	1
254	282	26	1
209	283	26	2
227	283	26	4
231	283	26	4
233	283	26	2
239	283	26	1
241	283	26	1
249	283	26	3
251	283	26	1
254	283	26	3
212	284	26	1
214	284	26	1
232	284	26	2
233	284	26	2
234	284	26	2
237	284	26	3
238	284	26	2
241	284	26	2
243	284	26	2
244	284	26	2
246	284	26	2
248	284	26	1
250	284	26	1
211	285	26	1
212	285	26	1
214	285	26	2
232	285	26	1
234	285	26	1
236	285	26	3
240	285	26	3
241	285	26	1
244	285	26	2
245	285	26	1
247	285	26	1
250	285	26	1
252	285	26	1
253	285	26	1
254	285	26	3
255	285	26	2
232	286	26	1
233	286	26	1
234	286	26	2
235	286	26	1
236	286	26	2
237	286	26	3
240	286	26	2
242	286	26	2
243	286	26	1
247	286	26	1
248	286	26	1
250	286	26	3
252	286	26	1
223	287	26	2
232	287	26	2
237	287	26	1
238	287	26	1
239	287	26	1
247	287	26	1
250	287	26	1
252	287	26	2
253	287	26	1
235	288	26	1
240	288	26	3
243	288	26	3
248	288	26	1
249	288	26	2
250	288	26	1
252	288	26	1
223	289	26	3
227	289	26	4
231	289	26	1
232	289	26	2
233	289	26	3
234	289	26	2
237	289	26	1
238	289	26	2
243	289	26	1
248	289	26	1
251	289	26	1
252	289	26	2
225	290	26	1
227	290	26	1
228	290	26	2
237	290	26	2
238	290	26	1
239	290	26	1
240	290	26	1
242	290	26	1
243	290	26	1
250	290	26	2
229	291	26	2
235	291	26	2
236	291	26	1
237	291	26	5
238	291	26	1
239	291	26	2
240	291	26	2
242	291	26	1
245	291	26	2
250	291	26	2
225	292	26	2
237	292	26	2
238	292	26	3
240	292	26	2
242	292	26	2
244	292	26	1
245	292	26	2
246	292	26	1
247	292	26	1
249	292	26	2
254	292	26	2
225	293	26	1
234	293	26	1
236	293	26	1
239	293	26	1
240	293	26	2
244	293	26	1
253	293	26	2
235	294	26	4
237	294	26	3
239	294	26	2
240	294	26	1
241	294	26	3
242	294	26	1
243	294	26	1
244	294	26	1
249	294	26	1
221	295	26	1
240	295	26	1
242	295	26	3
243	295	26	1
254	295	26	1
235	296	26	2
240	296	26	1
241	296	26	2
242	296	26	1
243	296	26	2
244	296	26	2
239	297	26	2
240	297	26	1
242	297	26	2
244	297	26	3
235	298	26	2
239	298	26	1
240	298	26	1
242	298	26	2
236	299	26	1
239	299	26	1
240	299	26	2
241	299	26	1
236	300	26	1
241	300	26	1
227	301	26	1
182	255	27	1
184	255	27	1
184	256	27	3
186	257	27	1
181	258	27	2
183	258	27	1
184	258	27	2
232	258	27	1
180	259	27	1
183	259	27	1
226	259	27	2
228	259	27	2
229	259	27	1
231	259	27	2
176	260	27	1
181	260	27	1
183	260	27	4
184	260	27	1
226	260	27	1
233	260	27	2
234	260	27	3
235	260	27	1
237	260	27	2
240	260	27	1
180	261	27	3
181	261	27	1
182	261	27	1
183	261	27	1
184	261	27	1
185	261	27	2
186	261	27	1
187	261	27	1
220	261	27	3
227	261	27	1
228	261	27	2
229	261	27	1
235	261	27	3
239	261	27	1
180	262	27	2
182	262	27	1
186	262	27	1
227	262	27	1
238	262	27	2
183	263	27	1
184	263	27	2
185	263	27	2
211	263	27	1
215	263	27	2
220	263	27	1
227	263	27	1
229	263	27	1
230	263	27	1
231	263	27	1
232	263	27	1
233	263	27	1
235	263	27	2
236	263	27	2
238	263	27	2
239	263	27	1
219	264	27	2
222	264	27	2
224	264	27	1
226	264	27	5
228	264	27	1
230	264	27	1
232	264	27	3
234	264	27	2
239	264	27	1
248	264	27	1
181	265	27	1
184	265	27	2
225	265	27	2
231	265	27	3
232	265	27	1
233	265	27	1
235	265	27	1
238	265	27	4
239	265	27	2
178	266	27	1
179	266	27	2
180	266	27	1
201	266	27	2
216	266	27	3
217	266	27	1
227	266	27	1
228	266	27	3
234	266	27	1
235	266	27	1
239	266	27	2
182	267	27	1
215	267	27	1
217	267	27	1
226	267	27	1
230	267	27	1
231	267	27	1
232	267	27	3
233	267	27	2
234	267	27	1
235	267	27	1
236	267	27	1
239	267	27	1
179	268	27	2
180	268	27	1
197	268	27	1
207	268	27	3
213	268	27	1
214	268	27	2
215	268	27	1
216	268	27	1
217	268	27	1
222	268	27	1
223	268	27	1
226	268	27	1
227	268	27	1
228	268	27	2
229	268	27	2
230	268	27	1
231	268	27	1
232	268	27	1
233	268	27	2
237	268	27	1
240	268	27	1
243	268	27	3
247	268	27	1
248	268	27	2
177	269	27	1
178	269	27	1
182	269	27	3
201	269	27	2
205	269	27	1
207	269	27	2
213	269	27	3
218	269	27	1
224	269	27	2
225	269	27	2
228	269	27	1
229	269	27	1
233	269	27	2
234	269	27	1
235	269	27	1
237	269	27	1
238	269	27	3
240	269	27	1
243	269	27	3
252	269	27	2
181	270	27	1
184	270	27	2
192	270	27	1
197	270	27	1
207	270	27	1
215	270	27	2
216	270	27	1
217	270	27	1
218	270	27	1
221	270	27	1
227	270	27	1
232	270	27	2
233	270	27	1
234	270	27	1
239	270	27	1
240	270	27	2
242	270	27	1
244	270	27	1
177	271	27	2
178	271	27	2
181	271	27	1
206	271	27	1
207	271	27	4
208	271	27	2
209	271	27	1
211	271	27	1
215	271	27	1
217	271	27	1
222	271	27	1
223	271	27	2
225	271	27	1
226	271	27	2
230	271	27	1
232	271	27	1
235	271	27	1
236	271	27	2
237	271	27	1
238	271	27	3
239	271	27	1
242	271	27	1
243	271	27	3
248	271	27	1
249	271	27	1
250	271	27	1
251	271	27	1
176	272	27	1
205	272	27	1
206	272	27	2
208	272	27	2
214	272	27	1
216	272	27	2
220	272	27	4
223	272	27	1
227	272	27	2
228	272	27	2
230	272	27	1
231	272	27	1
232	272	27	3
234	272	27	1
235	272	27	1
236	272	27	1
237	272	27	3
238	272	27	1
240	272	27	1
247	272	27	2
249	272	27	4
250	272	27	2
251	272	27	1
206	273	27	2
207	273	27	1
210	273	27	1
215	273	27	2
220	273	27	2
223	273	27	1
224	273	27	1
238	273	27	2
239	273	27	2
241	273	27	2
247	273	27	5
248	273	27	2
249	273	27	2
251	273	27	2
253	273	27	2
203	274	27	1
207	274	27	1
211	274	27	1
212	274	27	1
213	274	27	1
214	274	27	1
216	274	27	1
221	274	27	1
224	274	27	1
227	274	27	2
228	274	27	2
229	274	27	1
230	274	27	2
232	274	27	1
233	274	27	1
235	274	27	2
236	274	27	1
237	274	27	1
238	274	27	2
240	274	27	1
241	274	27	1
243	274	27	1
247	274	27	1
250	274	27	3
252	274	27	6
184	275	27	2
185	275	27	1
208	275	27	2
211	275	27	3
213	275	27	2
216	275	27	1
217	275	27	1
224	275	27	1
228	275	27	3
232	275	27	3
235	275	27	2
236	275	27	1
237	275	27	1
238	275	27	2
240	275	27	2
242	275	27	1
244	275	27	2
246	275	27	1
247	275	27	2
249	275	27	1
250	275	27	2
204	276	27	1
205	276	27	1
209	276	27	3
210	276	27	1
215	276	27	2
217	276	27	1
220	276	27	3
227	276	27	1
232	276	27	2
234	276	27	2
238	276	27	1
239	276	27	1
240	276	27	1
245	276	27	1
247	276	27	1
250	276	27	3
252	276	27	3
204	277	27	1
205	277	27	1
208	277	27	1
210	277	27	1
211	277	27	3
212	277	27	2
219	277	27	1
224	277	27	2
227	277	27	1
235	277	27	1
238	277	27	1
239	277	27	1
240	277	27	1
243	277	27	2
245	277	27	1
246	277	27	3
248	277	27	1
249	277	27	2
250	277	27	2
203	278	27	1
204	278	27	1
206	278	27	2
208	278	27	2
209	278	27	2
210	278	27	1
211	278	27	1
214	278	27	1
219	278	27	3
221	278	27	1
224	278	27	4
227	278	27	1
231	278	27	2
232	278	27	1
234	278	27	1
238	278	27	2
239	278	27	1
240	278	27	2
244	278	27	2
246	278	27	2
248	278	27	1
251	278	27	1
252	278	27	1
201	279	27	1
210	279	27	1
219	279	27	1
231	279	27	1
232	279	27	1
234	279	27	1
236	279	27	1
237	279	27	1
239	279	27	1
240	279	27	1
241	279	27	1
242	279	27	2
243	279	27	2
245	279	27	1
248	279	27	1
249	279	27	2
251	279	27	2
252	279	27	3
257	279	27	1
204	280	27	2
205	280	27	1
206	280	27	3
207	280	27	2
209	280	27	1
210	280	27	1
214	280	27	1
233	280	27	1
236	280	27	2
239	280	27	1
241	280	27	1
242	280	27	2
243	280	27	1
244	280	27	1
245	280	27	3
246	280	27	1
248	280	27	1
249	280	27	1
250	280	27	1
251	280	27	1
256	280	27	1
206	281	27	1
210	281	27	2
228	281	27	1
231	281	27	5
233	281	27	3
234	281	27	2
236	281	27	3
244	281	27	2
246	281	27	2
249	281	27	3
252	281	27	1
254	281	27	2
257	281	27	2
212	282	27	1
213	282	27	1
214	282	27	1
215	282	27	1
216	282	27	1
217	282	27	1
227	282	27	1
233	282	27	3
236	282	27	1
238	282	27	1
239	282	27	1
241	282	27	2
242	282	27	2
244	282	27	2
245	282	27	1
246	282	27	4
247	282	27	1
248	282	27	2
250	282	27	1
253	282	27	1
254	282	27	1
201	283	27	1
206	283	27	2
207	283	27	1
208	283	27	1
210	283	27	3
218	283	27	1
221	283	27	1
227	283	27	1
228	283	27	1
232	283	27	1
234	283	27	1
236	283	27	3
239	283	27	1
240	283	27	2
243	283	27	2
244	283	27	1
245	283	27	1
247	283	27	1
249	283	27	1
253	283	27	1
254	283	27	2
256	283	27	1
205	284	27	3
206	284	27	1
208	284	27	1
214	284	27	2
230	284	27	1
232	284	27	1
235	284	27	1
236	284	27	1
237	284	27	3
240	284	27	1
243	284	27	1
249	284	27	3
252	284	27	1
255	284	27	1
256	284	27	1
257	284	27	1
199	285	27	2
200	285	27	1
206	285	27	2
208	285	27	1
209	285	27	1
213	285	27	2
215	285	27	1
219	285	27	1
220	285	27	2
223	285	27	1
228	285	27	1
233	285	27	1
234	285	27	2
235	285	27	1
237	285	27	1
238	285	27	1
239	285	27	1
241	285	27	2
245	285	27	2
249	285	27	2
250	285	27	2
253	285	27	2
254	285	27	1
255	285	27	1
256	285	27	2
207	286	27	3
208	286	27	1
209	286	27	1
211	286	27	3
212	286	27	1
216	286	27	5
220	286	27	2
224	286	27	1
232	286	27	3
233	286	27	2
234	286	27	2
235	286	27	2
236	286	27	1
240	286	27	1
241	286	27	2
244	286	27	3
246	286	27	1
247	286	27	1
249	286	27	1
251	286	27	3
252	286	27	1
254	286	27	1
207	287	27	3
214	287	27	1
219	287	27	1
221	287	27	4
222	287	27	1
227	287	27	2
228	287	27	2
231	287	27	1
232	287	27	2
233	287	27	1
234	287	27	1
238	287	27	1
239	287	27	1
240	287	27	2
241	287	27	1
242	287	27	1
243	287	27	1
247	287	27	1
249	287	27	1
250	287	27	1
251	287	27	2
252	287	27	2
255	287	27	1
223	288	27	2
225	288	27	1
226	288	27	1
228	288	27	3
229	288	27	1
231	288	27	1
232	288	27	2
233	288	27	1
236	288	27	2
238	288	27	1
242	288	27	2
243	288	27	1
245	288	27	4
247	288	27	1
251	288	27	2
252	288	27	3
253	288	27	2
255	288	27	1
203	289	27	1
222	289	27	2
225	289	27	1
226	289	27	2
227	289	27	1
228	289	27	1
230	289	27	1
231	289	27	1
232	289	27	1
233	289	27	1
235	289	27	1
236	289	27	1
238	289	27	1
240	289	27	1
241	289	27	1
242	289	27	1
243	289	27	2
246	289	27	1
249	289	27	1
252	289	27	2
253	289	27	4
256	289	27	2
207	290	27	1
224	290	27	1
225	290	27	1
226	290	27	1
228	290	27	1
230	290	27	3
231	290	27	1
234	290	27	1
235	290	27	1
240	290	27	2
241	290	27	3
244	290	27	1
246	290	27	1
252	290	27	1
253	290	27	2
211	291	27	3
213	291	27	1
221	291	27	2
222	291	27	1
224	291	27	3
225	291	27	2
229	291	27	2
230	291	27	1
234	291	27	1
236	291	27	1
238	291	27	1
239	291	27	1
240	291	27	1
241	291	27	2
242	291	27	2
243	291	27	3
247	291	27	2
249	291	27	1
250	291	27	2
252	291	27	2
257	291	27	1
211	292	27	1
212	292	27	3
213	292	27	1
218	292	27	1
219	292	27	1
220	292	27	2
221	292	27	2
222	292	27	2
223	292	27	3
224	292	27	1
226	292	27	1
227	292	27	1
228	292	27	2
230	292	27	1
234	292	27	3
239	292	27	1
244	292	27	1
246	292	27	2
247	292	27	2
252	292	27	1
253	292	27	1
217	293	27	1
218	293	27	1
220	293	27	1
221	293	27	1
222	293	27	1
223	293	27	4
224	293	27	2
225	293	27	1
226	293	27	1
227	293	27	1
234	293	27	2
238	293	27	2
239	293	27	1
240	293	27	1
245	293	27	1
250	293	27	2
251	293	27	2
253	293	27	2
254	293	27	2
256	293	27	1
213	294	27	1
217	294	27	1
219	294	27	1
220	294	27	1
225	294	27	1
226	294	27	1
231	294	27	1
235	294	27	1
236	294	27	1
237	294	27	2
248	294	27	1
251	294	27	1
252	294	27	1
253	294	27	1
254	294	27	2
255	294	27	4
257	294	27	3
218	295	27	1
220	295	27	1
221	295	27	2
222	295	27	1
223	295	27	1
239	295	27	1
241	295	27	1
243	295	27	1
244	295	27	1
246	295	27	1
248	295	27	1
249	295	27	1
250	295	27	1
252	295	27	3
211	296	27	2
221	296	27	1
237	296	27	1
241	296	27	1
244	296	27	1
247	296	27	3
217	297	27	1
220	297	27	1
221	297	27	2
236	297	27	2
237	297	27	3
238	297	27	2
240	297	27	3
243	297	27	1
245	297	27	1
246	297	27	2
248	297	27	1
221	298	27	1
223	298	27	2
224	298	27	1
226	298	27	3
236	298	27	1
238	298	27	2
239	298	27	1
244	298	27	1
245	298	27	1
247	298	27	1
248	298	27	2
215	299	27	1
226	299	27	2
229	299	27	1
236	299	27	1
237	299	27	1
241	299	27	1
242	299	27	1
245	299	27	2
247	299	27	1
249	299	27	1
252	299	27	1
226	300	27	1
227	300	27	1
228	300	27	1
231	300	27	3
235	300	27	1
237	300	27	2
239	300	27	2
240	300	27	5
242	300	27	2
244	300	27	2
248	300	27	1
224	301	27	1
235	301	27	1
238	301	27	3
241	301	27	1
243	301	27	2
247	301	27	1
250	301	27	3
251	301	27	1
226	302	27	2
234	302	27	2
235	302	27	1
236	302	27	1
237	302	27	3
238	302	27	3
239	302	27	1
244	302	27	1
241	303	27	2
237	304	27	1
238	304	27	1
244	304	27	3
235	305	27	1
230	262	28	3
231	264	28	4
234	265	28	2
231	266	28	2
232	266	28	1
234	266	28	3
234	267	28	3
231	268	28	2
235	268	28	2
238	268	28	1
236	269	28	2
237	269	28	2
236	271	28	2
240	271	28	1
232	272	28	1
233	272	28	3
234	272	28	1
236	272	28	3
234	274	28	2
235	274	28	2
235	275	28	1
249	275	28	1
233	276	28	3
234	276	28	2
237	276	28	1
235	277	28	3
236	277	28	2
237	277	28	2
238	277	28	1
210	279	28	1
237	279	28	1
248	279	28	1
235	280	28	3
239	280	28	1
251	280	28	1
208	281	28	1
210	281	28	2
235	281	28	1
248	281	28	1
250	281	28	2
234	282	28	1
235	282	28	1
246	282	28	2
249	282	28	1
251	282	28	1
237	283	28	1
238	283	28	1
246	283	28	1
247	283	28	1
249	283	28	2
254	283	28	1
248	284	28	2
250	284	28	1
238	285	28	1
240	285	28	2
242	285	28	1
244	285	28	1
245	285	28	2
235	286	28	2
237	286	28	1
247	286	28	1
248	286	28	2
249	286	28	1
240	287	28	1
244	287	28	2
245	287	28	2
238	288	28	1
242	288	28	1
245	288	28	1
227	289	28	3
231	289	28	3
243	289	28	1
245	289	28	1
246	289	28	1
247	289	28	2
248	289	28	1
226	290	28	1
242	290	28	2
244	290	28	2
237	291	28	1
239	291	28	1
240	291	28	2
245	291	28	1
247	291	28	1
248	291	28	1
239	292	28	1
240	292	28	2
241	292	28	1
242	292	28	1
245	292	28	1
247	292	28	2
248	292	28	1
250	292	28	1
240	293	28	2
243	293	28	1
249	293	28	2
250	293	28	2
242	294	28	1
245	294	28	1
249	294	28	2
250	294	28	1
240	295	28	1
241	295	28	1
242	295	28	1
239	297	28	1
245	297	28	1
240	298	28	2
240	299	28	1
240	300	28	2
229	255	29	1
233	256	29	3
234	256	29	1
230	257	29	1
228	258	29	1
234	258	29	1
235	258	29	1
237	258	29	1
188	259	29	1
229	259	29	1
238	259	29	1
182	260	29	2
234	260	29	1
240	260	29	1
183	261	29	2
187	261	29	1
226	261	29	1
227	261	29	2
229	261	29	2
230	261	29	1
231	261	29	2
220	262	29	1
227	262	29	1
248	262	29	1
231	263	29	1
232	263	29	1
234	263	29	2
178	264	29	2
216	264	29	2
224	264	29	1
226	264	29	1
229	264	29	1
232	264	29	2
237	264	29	1
238	264	29	1
226	265	29	2
234	265	29	1
235	265	29	1
239	265	29	2
249	265	29	1
197	266	29	2
226	266	29	1
229	266	29	1
230	266	29	2
232	266	29	2
234	266	29	3
236	266	29	1
237	266	29	3
248	266	29	1
250	266	29	3
193	267	29	4
194	267	29	4
196	267	29	1
197	267	29	1
214	267	29	2
226	267	29	1
230	267	29	1
231	267	29	1
236	267	29	3
241	267	29	2
249	267	29	2
194	268	29	1
201	268	29	3
231	268	29	1
234	268	29	1
235	268	29	1
237	268	29	2
238	268	29	1
239	268	29	3
244	268	29	1
196	269	29	1
235	269	29	1
240	269	29	4
248	269	29	1
249	269	29	1
178	270	29	1
200	270	29	1
227	270	29	1
230	270	29	2
232	270	29	1
234	270	29	2
235	270	29	1
237	270	29	2
238	270	29	3
239	270	29	2
250	270	29	2
173	271	29	1
182	271	29	2
214	271	29	2
233	271	29	4
234	271	29	2
235	271	29	1
238	271	29	1
241	271	29	2
211	272	29	2
213	272	29	3
215	272	29	1
232	272	29	3
233	272	29	1
238	272	29	2
239	272	29	2
245	272	29	2
249	272	29	1
207	273	29	2
211	273	29	2
212	273	29	1
225	273	29	2
236	273	29	1
238	273	29	4
206	274	29	1
213	274	29	1
214	274	29	3
233	274	29	2
240	274	29	1
250	274	29	2
206	275	29	1
215	275	29	1
231	275	29	1
235	275	29	2
236	275	29	1
237	275	29	2
238	275	29	2
239	275	29	2
242	275	29	1
204	276	29	1
205	276	29	3
206	276	29	2
228	276	29	3
233	276	29	1
234	276	29	1
237	276	29	1
238	276	29	1
240	276	29	1
241	276	29	1
248	276	29	1
249	276	29	2
250	276	29	1
252	276	29	1
239	277	29	1
240	277	29	1
247	277	29	1
250	277	29	1
251	277	29	1
236	278	29	1
237	278	29	2
238	278	29	1
244	278	29	2
245	278	29	1
247	278	29	2
206	279	29	1
235	279	29	1
236	279	29	1
238	279	29	1
245	279	29	1
247	279	29	3
248	279	29	1
249	279	29	1
252	279	29	2
254	279	29	1
256	279	29	1
205	280	29	1
233	280	29	2
234	280	29	3
235	280	29	1
236	280	29	2
237	280	29	2
238	280	29	1
241	280	29	1
247	280	29	1
250	280	29	3
251	280	29	2
252	280	29	1
256	280	29	1
208	281	29	1
214	281	29	3
232	281	29	2
233	281	29	2
241	281	29	2
243	281	29	1
245	281	29	1
249	281	29	2
251	281	29	2
206	282	29	1
212	282	29	1
233	282	29	4
235	282	29	2
241	282	29	1
244	282	29	1
245	282	29	1
246	282	29	1
248	282	29	1
249	282	29	1
250	282	29	2
209	283	29	1
215	283	29	1
231	283	29	1
232	283	29	1
236	283	29	1
238	283	29	1
245	283	29	1
248	283	29	1
249	283	29	1
251	283	29	1
211	284	29	1
222	284	29	1
233	284	29	1
234	284	29	1
235	284	29	1
237	284	29	2
240	284	29	3
241	284	29	2
243	284	29	1
244	284	29	1
246	284	29	1
248	284	29	2
255	284	29	1
219	285	29	1
226	285	29	1
227	285	29	1
233	285	29	1
234	285	29	1
238	285	29	2
239	285	29	1
240	285	29	4
241	285	29	2
242	285	29	1
243	285	29	4
244	285	29	2
248	285	29	2
253	285	29	1
254	285	29	1
232	286	29	1
233	286	29	1
234	286	29	1
235	286	29	1
236	286	29	1
240	286	29	1
241	286	29	4
242	286	29	4
249	286	29	1
252	286	29	1
225	287	29	1
226	287	29	1
228	287	29	2
231	287	29	1
233	287	29	3
238	287	29	1
240	287	29	1
245	287	29	1
246	287	29	1
247	287	29	1
249	287	29	2
224	288	29	1
225	288	29	3
226	288	29	2
228	288	29	2
233	288	29	3
234	288	29	2
240	288	29	2
245	288	29	1
246	288	29	1
253	288	29	3
224	289	29	1
225	289	29	1
227	289	29	1
235	289	29	1
236	289	29	3
237	289	29	3
244	289	29	1
245	289	29	1
246	289	29	2
247	289	29	1
250	289	29	1
254	289	29	1
226	290	29	1
227	290	29	2
228	290	29	2
230	290	29	1
245	290	29	1
247	290	29	2
224	291	29	1
225	291	29	1
226	291	29	1
239	291	29	1
240	291	29	2
241	291	29	4
245	291	29	2
248	291	29	1
251	291	29	1
222	292	29	2
225	292	29	1
236	292	29	2
237	292	29	1
238	292	29	3
239	292	29	2
242	292	29	2
245	292	29	2
248	292	29	1
250	292	29	2
257	292	29	1
222	293	29	1
223	293	29	1
224	293	29	3
225	293	29	1
227	293	29	2
239	293	29	2
242	293	29	1
246	293	29	1
247	293	29	2
249	293	29	1
252	293	29	1
221	294	29	2
224	294	29	2
238	294	29	5
241	294	29	1
243	294	29	2
244	294	29	3
245	294	29	3
246	294	29	1
220	295	29	1
221	295	29	1
241	295	29	1
244	295	29	1
247	295	29	1
222	296	29	1
246	296	29	1
249	296	29	1
252	296	29	1
253	296	29	1
255	296	29	1
227	297	29	2
238	297	29	2
239	297	29	1
240	297	29	1
242	297	29	1
245	297	29	1
247	297	29	1
248	297	29	1
221	298	29	3
226	298	29	1
237	298	29	1
242	298	29	2
245	298	29	2
226	299	29	1
227	299	29	3
237	299	29	1
239	299	29	1
240	299	29	1
252	299	29	1
225	300	29	2
226	300	29	2
227	300	29	2
223	301	29	1
224	301	29	1
225	301	29	1
227	301	29	1
236	301	29	1
238	301	29	1
241	301	29	1
247	301	29	2
224	302	29	1
240	303	29	2
237	304	29	3
236	305	29	1
229	250	30	1
215	252	30	1
228	253	30	2
231	253	30	1
237	253	30	2
215	254	30	3
230	254	30	1
235	254	30	2
238	254	30	1
191	255	30	1
227	255	30	1
229	255	30	2
230	255	30	1
232	255	30	1
236	255	30	2
237	255	30	3
204	256	30	2
230	256	30	3
232	256	30	1
236	256	30	1
190	257	30	2
192	257	30	1
215	257	30	1
229	257	30	1
230	257	30	1
240	257	30	1
175	258	30	1
181	258	30	2
186	258	30	2
203	258	30	1
226	258	30	2
229	258	30	1
233	258	30	1
237	258	30	2
239	258	30	1
183	259	30	1
205	259	30	1
209	259	30	1
216	259	30	1
218	259	30	1
219	259	30	3
220	259	30	1
222	259	30	1
224	259	30	1
226	259	30	1
227	259	30	1
229	259	30	2
230	259	30	1
232	259	30	1
234	259	30	3
235	259	30	1
239	259	30	2
241	259	30	3
186	260	30	3
190	260	30	1
196	260	30	1
197	260	30	1
206	260	30	1
217	260	30	1
219	260	30	1
223	260	30	1
225	260	30	1
226	260	30	1
227	260	30	1
228	260	30	1
232	260	30	3
235	260	30	1
236	260	30	1
237	260	30	1
238	260	30	2
239	260	30	1
240	260	30	1
245	260	30	1
186	261	30	4
194	261	30	2
